Key,English,Simplified_Chinese
PROPCTRL_TXT_000091,Metaverse Pencil Case,Metaverse Pencil Case
PROPCTRL_TXT_000092,Metaverse Plant,Metaverse Plant
PROPCTRL_TXT_000093,Metaverse Tree Pot,Metaverse Tree Pot
PROPCTRL_TXT_000094,Metaverse Slippers,Metaverse Slippers
PROPCTRL_TXT_000095,Metaverse Single Sofa,Metaverse Single Sofa
PROPCTRL_TXT_000096,Metaverse Pouffe Seat,Metaverse Pouffe Seat
PROPCTRL_TXT_000097,Metaverse Sofa,Metaverse Sofa
PROPCTRL_TXT_000098,Metaverse Round Table,Metaverse Round Table
PROPCTRL_TXT_000099,Metaverse Storage Table,Metaverse Storage Table
PROPCTRL_TXT_000100,Metaverse Decorative Table,Metaverse Decorative Table
PROPCTRL_TXT_000101,Metaverse Violin,Metaverse Violin
PROPCTRL_TXT_000102,Wooden Yellow Chair,Wooden Yellow Chair
PROPCTRL_TXT_000103,Wooden Yellow Table,Wooden Yellow Table
PROPCTRL_TXT_000104,Wooden Yellow Dressing Table,Wooden Yellow Dressing Table
PROPCTRL_TXT_000105,Wooden Yellow Closet,Wooden Yellow Closet
PROPCTRL_TXT_000106,Wooden Yellow Bench,Wooden Yellow Bench
PROPCTRL_TXT_000107,Wooden Yellow Cabinet,Wooden Yellow Cabinet
PROPCTRL_TXT_000108,Wooden Yellow Bed,Wooden Yellow Bed
PROPCTRL_TXT_000109,Wooden Blue Chair,Wooden Blue Chair
PROPCTRL_TXT_000110,Wooden Blue Table,Wooden Blue Table
PROPCTRL_TXT_000111,Wooden Blue Dressing Table,Wooden Blue Dressing Table
PROPCTRL_TXT_000112,Wooden Blue Closet,Wooden Blue Closet
PROPCTRL_TXT_000113,Wooden Blue Bench,Wooden Blue Bench
PROPCTRL_TXT_000114,Wooden Blue Cabinet,Wooden Blue Cabinet
PROPCTRL_TXT_000115,Wooden Blue Bed,Wooden Blue Bed
PROPCTRL_TXT_000116,Wooden Red Chair,Wooden Red Chair
PROPCTRL_TXT_000117,Wooden Red Table,Wooden Red Table
PROPCTRL_TXT_000118,Wooden Red Dressing Table,Wooden Red Dressing Table
PROPCTRL_TXT_000119,Wooden Red Closet,Wooden Red Closet
PROPCTRL_TXT_000120,Wooden Red Bench,Wooden Red Bench
PROPCTRL_TXT_000121,Wooden Red Cabinet,Wooden Red Cabinet
PROPCTRL_TXT_000122,Wooden Red Bed,Wooden Red Bed
PROPCTRL_TXT_000123,Music Chair,Music Chair
PROPCTRL_TXT_000124,Music Table,Music Table
PROPCTRL_TXT_000125,Music Dressing Table,Music Dressing Table
PROPCTRL_TXT_000126,Music Wardrobe,Music Wardrobe
PROPCTRL_TXT_000127,Music Sofa,Music Sofa
PROPCTRL_TXT_000128,Music Cabinet,Music Cabinet
PROPCTRL_TXT_000129,Music Bed,Music Bed
PROPCTRL_TXT_000130,Heart Chair,Heart Chair
PROPCTRL_TXT_000131,Heart Table,Heart Table
PROPCTRL_TXT_000132,Heart Dressing Table,Heart Dressing Table
PROPCTRL_TXT_000133,Heart Wardrobe,Heart Wardrobe
PROPCTRL_TXT_000134,Heart Sofa,Heart Sofa
PROPCTRL_TXT_000135,Heart Cabinet,Heart Cabinet
PROPCTRL_TXT_000136,Heart Bed,Heart Bed
PROPCTRL_TXT_000137,Modern Chair,Modern Chair
PROPCTRL_TXT_000138,Modern Table,Modern Table
PROPCTRL_TXT_000139,Modern Dressing Table,Modern Dressing Table
PROPCTRL_TXT_000140,Modern Wardrobe,Modern Wardrobe
PROPCTRL_TXT_000141,Modern Sofa,Modern Sofa
PROPCTRL_TXT_000142,Modern Cabinet,Modern Cabinet
PROPCTRL_TXT_000143,Modern Bed,Modern Bed
PROPCTRL_TXT_000144,Royal Chair,Royal Chair
PROPCTRL_TXT_000145,Royal Table,Royal Table
PROPCTRL_TXT_000146,Royal Dressing Table,Royal Dressing Table
PROPCTRL_TXT_000147,Royal Wardrobe,Royal Wardrobe
PROPCTRL_TXT_000148,Royal Sofa,Royal Sofa
PROPCTRL_TXT_000149,Royal Bed,Royal Bed
PROPCTRL_TXT_000150,Royal Drawer,Royal Drawer
PROPCTRL_TXT_000151,Royal Bookcase,Royal Bookcase
PROPCTRL_TXT_000152,Royal Desk,Royal Desk
PROPCTRL_TXT_000153,Royal Bath,Royal Bath
PROPCTRL_TXT_000154,Golden Royal Chair,Golden Royal Chair
PROPCTRL_TXT_000155,Golden Royal Table,Golden Royal Table
PROPCTRL_TXT_000156,Golden Royal Dressing Table,Golden Royal Dressing Table
PROPCTRL_TXT_000157,Golden Royal Wardrobe,Golden Royal Wardrobe
PROPCTRL_TXT_000158,Golden Royal Sofa,Golden Royal Sofa
PROPCTRL_TXT_000159,Golden Royal Bed,Golden Royal Bed
PROPCTRL_TXT_000160,Golden Royal Drawer,Golden Royal Drawer
PROPCTRL_TXT_000161,Golden Royal Bookcase,Golden Royal Bookcase
PROPCTRL_TXT_000162,Golden Royal Desk,Golden Royal Desk
PROPCTRL_TXT_000163,Golden Royal Bath,Golden Royal Bath
PROPCTRL_TXT_000164,Design Black Chair,Design Black Chair
PROPCTRL_TXT_000165,Design White Chair,Design White Chair
PROPCTRL_TXT_000166,Design Table,Design Table
PROPCTRL_TXT_000167,Design Drawer,Design Drawer
PROPCTRL_TXT_000168,Design Bookcase,Design Bookcase
PROPCTRL_TXT_000169,Design Sofa,Design Sofa
PROPCTRL_TXT_000170,Wooden Chair,Wooden Chair
PROPCTRL_TXT_000171,Wooden Table,Wooden Table
PROPCTRL_TXT_000172,Wooden Drawer,Wooden Drawer
PROPCTRL_TXT_000173,Wooden Bookcase,Wooden Bookcase
PROPCTRL_TXT_000174,Wooden Sofa,Wooden Sofa
PROPCTRL_TXT_000175,Flaris Ground Field,Flaris Ground Field
PROPCTRL_TXT_000176,Flaris Anvil,Flaris Anvil
PROPCTRL_TXT_000177,Flaris Bench,Flaris Bench
PROPCTRL_TXT_000178,Flaris Chariot,Flaris Chariot
PROPCTRL_TXT_000179,Flaris Fence 1,Flaris Fence 1
PROPCTRL_TXT_000180,Flaris Floor Lamp,Flaris Floor Lamp
PROPCTRL_TXT_000181,Flaris Wall Lamp,Flaris Wall Lamp
PROPCTRL_TXT_000182,Flaris Pot 1,Flaris Pot 1
PROPCTRL_TXT_000183,Flaris Small Sign,Flaris Small Sign
PROPCTRL_TXT_000184,Flaris Medium Sign,Flaris Medium Sign
PROPCTRL_TXT_000185,Flaris Large Sign,Flaris Large Sign
PROPCTRL_TXT_000186,Flaris Boat Sign,Flaris Boat Sign
PROPCTRL_TXT_000187,Flaris Rotating Sign,Flaris Rotating Sign
PROPCTRL_TXT_000188,Common Green Tree 1,Common Green Tree 1
PROPCTRL_TXT_000189,Common Wooden Box 1,Common Wooden Box 1
PROPCTRL_TXT_000190,Common Wooden Box Pile 1,Common Wooden Box Pile 1
PROPCTRL_TXT_000191,Common Wooden Barrel 1,Common Wooden Barrel 1
PROPCTRL_TXT_000192,Common Wooden Barrel Pile 1,Common Wooden Barrel Pile 1
PROPCTRL_TXT_000193,Common Flowers 1,Common Flowers 1
PROPCTRL_TXT_000194,Common Grass 1,Common Grass 1
PROPCTRL_TXT_000195,Common Mushroom 1,Common Mushroom 1
PROPCTRL_TXT_000196,Common Rock 1,Common Rock 1
PROPCTRL_TXT_000197,Common Autumn Tree,Common Autumn Tree
PROPCTRL_TXT_000198,Common Sakura Tree 1,Common Sakura Tree 1
PROPCTRL_TXT_000199,Common Burned Tree,Common Burned Tree
PROPCTRL_TXT_000200,St Morning Bench,St Morning Bench
PROPCTRL_TXT_000201,St Morning Chariot,St Morning Chariot
PROPCTRL_TXT_000202,St Morning Rock Arch 1,St Morning Rock Arch 1
PROPCTRL_TXT_000203,St Morning Flag 1,St Morning Flag 1
PROPCTRL_TXT_000204,St Morning Flower Bed,St Morning Flower Bed
PROPCTRL_TXT_000205,St Morning Rock 1,St Morning Rock 1
PROPCTRL_TXT_000206,St Morning Light 1,St Morning Light 1
PROPCTRL_TXT_000207,St Morning Sign,St Morning Sign
PROPCTRL_TXT_000208,Darkon Wagon 1,Darkon Wagon 1
PROPCTRL_TXT_000209,Darkon Sign 1,Darkon Sign 1
PROPCTRL_TXT_000210,Darkon Big Box 1,Darkon Big Box 1
PROPCTRL_TXT_000211,Darkon Brown Rock 1,Darkon Brown Rock 1
PROPCTRL_TXT_000212,Darkon Barrel 1,Darkon Barrel 1
PROPCTRL_TXT_000213,Darkon Ground Window,Darkon Ground Window
PROPCTRL_TXT_000214,Darkon Light 1,Darkon Light 1
PROPCTRL_TXT_000215,Darkon Mushroom 1,Darkon Mushroom 1
PROPCTRL_TXT_000216,Darkon Tree 1,Darkon Tree 1
PROPCTRL_TXT_000217,Darkon Plant,Darkon Plant
PROPCTRL_TXT_000218,Azria Plant 1,Azria Plant 1
PROPCTRL_TXT_000219,Azria Tree 1,Azria Tree 1
PROPCTRL_TXT_000220,Azria Light 1,Azria Light 1
PROPCTRL_TXT_000221,Azria Rock 1,Azria Rock 1
PROPCTRL_TXT_000222,Azria Mushroom 1,Azria Mushroom 1
PROPCTRL_TXT_000223,Azria Chariot,Azria Chariot
PROPCTRL_TXT_000224,Azria Crystal,Azria Crystal
PROPCTRL_TXT_000225,Azria Grass 1,Azria Grass 1
PROPCTRL_TXT_000226,Azria Sign 1,Azria Sign 1
PROPCTRL_TXT_000227,Azria Box Pile,Azria Box Pile
PROPCTRL_TXT_000228,Azria Box 1,Azria Box 1
PROPCTRL_TXT_000229,Coral Island Tree 1,Coral Island Tree 1
PROPCTRL_TXT_000230,Coral Island Shellfish 1,Coral Island Shellfish 1
PROPCTRL_TXT_000231,Coral Island Coral 1,Coral Island Coral 1
PROPCTRL_TXT_000232,Coral Island Starfish 1,Coral Island Starfish 1
PROPCTRL_TXT_000233,Coral Island Table 1,Coral Island Table 1
PROPCTRL_TXT_000234,Coral Island Beach Umbrella ,Coral Island Beach Umbrella 
PROPCTRL_TXT_000235,Basic Wall,Basic Wall
PROPCTRL_TXT_000236,Flaris Wall,Flaris Wall
PROPCTRL_TXT_000237,Cove Wall,Cove Wall
PROPCTRL_TXT_000238,Coral Island Wall,Coral Island Wall
PROPCTRL_TXT_000239,Forsaken Wall,Forsaken Wall
PROPCTRL_TXT_000240,Secret Wall,Secret Wall
PROPCTRL_TXT_000241,Colosseum Wall,Colosseum Wall
PROPCTRL_TXT_000242,Darkon Light Wall,Darkon Light Wall
PROPCTRL_TXT_000243,Darkon Wooden Wall,Darkon Wooden Wall
PROPCTRL_TXT_000244,Darkon Metal Wall,Darkon Metal Wall
PROPCTRL_TXT_000245,Mechanical Wall,Mechanical Wall
PROPCTRL_TXT_000246,Cottage Wall,Cottage Wall
PROPCTRL_TXT_000247,Ivillis Wall,Ivillis Wall
PROPCTRL_TXT_000248,Royal Wall,Royal Wall
PROPCTRL_TXT_000249,Plain Wall,Plain Wall
PROPCTRL_TXT_000250,Deck Wall,Deck Wall
PROPCTRL_TXT_000251,Forest Wall,Forest Wall
PROPCTRL_TXT_000252,Metallic Wall,Metallic Wall
PROPCTRL_TXT_000253,Construction Wall,Construction Wall
PROPCTRL_TXT_000254,Saint Morning Wall,Saint Morning Wall
PROPCTRL_TXT_000255,Basic Floor,Basic Floor
PROPCTRL_TXT_000256,White Floor,White Floor
PROPCTRL_TXT_000257,Bordered Cove Floor,Bordered Cove Floor
PROPCTRL_TXT_000258,Plain Cove Floor,Plain Cove Floor
PROPCTRL_TXT_000259,Small Plank Floor,Small Plank Floor
PROPCTRL_TXT_000260,Crate Floor,Crate Floor
PROPCTRL_TXT_000261,Platform Floor,Platform Floor
PROPCTRL_TXT_000262,Light Plank Floor,Light Plank Floor
PROPCTRL_TXT_000263,Light Brick Floor,Light Brick Floor
PROPCTRL_TXT_000264,Scrap Wood Floor,Scrap Wood Floor
PROPCTRL_TXT_000265,Pale Wood Floor,Pale Wood Floor
PROPCTRL_TXT_000266,Mossy Brick Floor,Mossy Brick Floor
PROPCTRL_TXT_000267,Shipwreck Floor,Shipwreck Floor
PROPCTRL_TXT_000268,Construction Floor,Construction Floor
PROPCTRL_TXT_000269,Mars Floor,Mars Floor
PROPCTRL_TXT_000270,Forsaken Brick Floor,Forsaken Brick Floor
PROPCTRL_TXT_000271,Ominous Floor,Ominous Floor
PROPCTRL_TXT_000272,Golden Floor,Golden Floor
PROPCTRL_TXT_000273,Bordered Secret Floor,Bordered Secret Floor
PROPCTRL_TXT_000274,Plain Secret Floor,Plain Secret Floor
PROPCTRL_TXT_000275,Darkon Wooden Plain Floor,Darkon Wooden Plain Floor
PROPCTRL_TXT_000276,Darkon Wooden Mosaic Floor,Darkon Wooden Mosaic Floor
PROPCTRL_TXT_000277,Forsaken Blue Floor,Forsaken Blue Floor
PROPCTRL_TXT_000278,Plain Forsaken Blue Floor,Plain Forsaken Blue Floor
PROPCTRL_TXT_000279,Wilds Floor,Wilds Floor
PROPCTRL_TXT_000280,Pebble Floor,Pebble Floor
PROPCTRL_TXT_000281,Fortress Floor,Fortress Floor
PROPCTRL_TXT_000282,Cracked Floor,Cracked Floor
PROPCTRL_TXT_000283,Volcanic Floor,Volcanic Floor
PROPCTRL_TXT_000284,Modern Floor,Modern Floor
PROPCTRL_TXT_000285,Pipe Floor,Pipe Floor
PROPCTRL_TXT_000286,Darkon Metal Mosaic Floor,Darkon Metal Mosaic Floor
PROPCTRL_TXT_000287,Darkon Metal Grid Lattice Floor,Darkon Metal Grid Lattice Floor
PROPCTRL_TXT_000288,Darkon Metal Plain Floor,Darkon Metal Plain Floor
PROPCTRL_TXT_000289,Forged Floor,Forged Floor
PROPCTRL_TXT_000290,Industrial Floor,Industrial Floor
PROPCTRL_TXT_000291,Colosseum Floor,Colosseum Floor
PROPCTRL_TXT_000292,Dungeon Floor,Dungeon Floor
PROPCTRL_TXT_000293,Bright Wooden Floor,Bright Wooden Floor
PROPCTRL_TXT_000294,Honey Wooden Floor,Honey Wooden Floor
PROPCTRL_TXT_000295,Ancient Floor,Ancient Floor
PROPCTRL_TXT_000296,Pier Floor,Pier Floor
PROPCTRL_TXT_000297,Dark Stacked Wooden Floor,Dark Stacked Wooden Floor
PROPCTRL_TXT_000298,Light Stacked Wooden Floor,Light Stacked Wooden Floor
PROPCTRL_TXT_000299,Dark Plank Floor,Dark Plank Floor
PROPCTRL_TXT_000300,Cracked Marble Floor,Cracked Marble Floor
PROPCTRL_TXT_000301,Battle Floor,Battle Floor
PROPCTRL_TXT_000302,Branch Floor,Branch Floor
PROPCTRL_TXT_000303,Tree Floor,Tree Floor
PROPCTRL_TXT_000304,Royal Carpet Floor,Royal Carpet Floor
PROPCTRL_TXT_000305,Rhisis Floor,Rhisis Floor
PROPCTRL_TXT_000306,Dirt Floor,Dirt Floor
PROPCTRL_TXT_000307,Flarine Floor,Flarine Floor
PROPCTRL_TXT_000308,Gravel Floor,Gravel Floor
PROPCTRL_TXT_000309,Bordered Plank Floor,Bordered Plank Floor
PROPCTRL_TXT_000310,Basic Ceiling,Basic Ceiling
PROPCTRL_TXT_000311,White Ceiling,White Ceiling
PROPCTRL_TXT_000312,Bordered Cove Ceiling,Bordered Cove Ceiling
PROPCTRL_TXT_000313,Plain Cove Ceiling,Plain Cove Ceiling
PROPCTRL_TXT_000314,Small Plank Ceiling,Small Plank Ceiling
PROPCTRL_TXT_000315,Crate Ceiling,Crate Ceiling
PROPCTRL_TXT_000316,Platform Ceiling,Platform Ceiling
PROPCTRL_TXT_000317,Light Plank Ceiling,Light Plank Ceiling
PROPCTRL_TXT_000318,Light Brick Ceiling,Light Brick Ceiling
PROPCTRL_TXT_000319,Scrap Wood Ceiling,Scrap Wood Ceiling
PROPCTRL_TXT_000320,Pale Wood Ceiling,Pale Wood Ceiling
PROPCTRL_TXT_000321,Mossy Brick Ceiling,Mossy Brick Ceiling
PROPCTRL_TXT_000322,Shipwreck Ceiling,Shipwreck Ceiling
PROPCTRL_TXT_000323,Construction Ceiling,Construction Ceiling
PROPCTRL_TXT_000324,Mars Ceiling,Mars Ceiling
PROPCTRL_TXT_000325,Forsaken Brick Ceiling,Forsaken Brick Ceiling
PROPCTRL_TXT_000326,Ominous Ceiling,Ominous Ceiling
PROPCTRL_TXT_000327,Golden Ceiling,Golden Ceiling
PROPCTRL_TXT_000328,Bordered Secret Ceiling,Bordered Secret Ceiling
PROPCTRL_TXT_000329,Plain Secret Ceiling,Plain Secret Ceiling
PROPCTRL_TXT_000330,Darkon Wooden Plain Ceiling,Darkon Wooden Plain Ceiling
PROPCTRL_TXT_000331,Darkon Wooden Mosaic Ceiling,Darkon Wooden Mosaic Ceiling
PROPCTRL_TXT_000332,Forsaken Blue Ceiling,Forsaken Blue Ceiling
PROPCTRL_TXT_000333,Plain Forsaken Blue Ceiling,Plain Forsaken Blue Ceiling
PROPCTRL_TXT_000334,Wilds Ceiling,Wilds Ceiling
PROPCTRL_TXT_000335,Pebble Ceiling,Pebble Ceiling
PROPCTRL_TXT_000336,Fortress Ceiling,Fortress Ceiling
PROPCTRL_TXT_000337,Cracked Ceiling,Cracked Ceiling
PROPCTRL_TXT_000338,Volcanic Ceiling,Volcanic Ceiling
PROPCTRL_TXT_000339,Modern Ceiling,Modern Ceiling
PROPCTRL_TXT_000340,Pipe Ceiling,Pipe Ceiling
PROPCTRL_TXT_000341,Darkon Metal Mosaic Ceiling,Darkon Metal Mosaic Ceiling
PROPCTRL_TXT_000342,Darkon Metal Grid Lattice Ceiling,Darkon Metal Grid Lattice Ceiling
PROPCTRL_TXT_000343,Darkon Metal Plain Ceiling,Darkon Metal Plain Ceiling
PROPCTRL_TXT_000344,Forged Ceiling,Forged Ceiling
PROPCTRL_TXT_000345,Industrial Ceiling,Industrial Ceiling
PROPCTRL_TXT_000346,Colosseum Ceiling,Colosseum Ceiling
PROPCTRL_TXT_000347,Dungeon Ceiling,Dungeon Ceiling
PROPCTRL_TXT_000348,Bright Wooden Ceiling,Bright Wooden Ceiling
PROPCTRL_TXT_000349,Honey Wooden Ceiling,Honey Wooden Ceiling
PROPCTRL_TXT_000350,Ancient Ceiling,Ancient Ceiling
PROPCTRL_TXT_000351,Pier Ceiling,Pier Ceiling
PROPCTRL_TXT_000352,Dark Stacked Wooden Ceiling,Dark Stacked Wooden Ceiling
PROPCTRL_TXT_000353,Light Stacked Wooden Ceiling,Light Stacked Wooden Ceiling
PROPCTRL_TXT_000354,Dark Plank Ceiling,Dark Plank Ceiling
PROPCTRL_TXT_000355,Cracked Marble Ceiling,Cracked Marble Ceiling
PROPCTRL_TXT_000356,Battle Ceiling,Battle Ceiling
PROPCTRL_TXT_000357,Branch Ceiling,Branch Ceiling
PROPCTRL_TXT_000358,Tree Ceiling,Tree Ceiling
PROPCTRL_TXT_000359,Royal Carpet Ceiling,Royal Carpet Ceiling
PROPCTRL_TXT_000360,Rhisis Ceiling,Rhisis Ceiling
PROPCTRL_TXT_000361,Dirt Ceiling,Dirt Ceiling
PROPCTRL_TXT_000362,Flarine Ceiling,Flarine Ceiling
PROPCTRL_TXT_000363,Gravel Ceiling,Gravel Ceiling
PROPCTRL_TXT_000364,Bordered Plank Ceiling,Bordered Plank Ceiling
PROPCTRL_TXT_000365,Common Green Tree 2,Common Green Tree 2
PROPCTRL_TXT_000366,Common Green Tree 3,Common Green Tree 3
PROPCTRL_TXT_000367,Common Green Tree 4,Common Green Tree 4
PROPCTRL_TXT_000368,Common Green Tree 5,Common Green Tree 5
PROPCTRL_TXT_000369,Common Green Tree 6,Common Green Tree 6
PROPCTRL_TXT_000370,Common Green Tree 7,Common Green Tree 7
PROPCTRL_TXT_000371,Common Green Tree 8,Common Green Tree 8
PROPCTRL_TXT_000372,Common Green Tree 9,Common Green Tree 9
PROPCTRL_TXT_000373,Common Green Tree 10,Common Green Tree 10
PROPCTRL_TXT_000374,Common Green Tree 11,Common Green Tree 11
PROPCTRL_TXT_000375,Common Green Tree 12,Common Green Tree 12
PROPCTRL_TXT_000376,Common Green Tree 13,Common Green Tree 13
PROPCTRL_TXT_000377,Common Green Tree 14,Common Green Tree 14
PROPCTRL_TXT_000378,Common Sakura Tree 2,Common Sakura Tree 2
PROPCTRL_TXT_000379,Common Wooden Box 2,Common Wooden Box 2
PROPCTRL_TXT_000380,Common Wooden Box Pile 2,Common Wooden Box Pile 2
PROPCTRL_TXT_000381,Common Wooden Box Pile 3,Common Wooden Box Pile 3
PROPCTRL_TXT_000382,Common Wooden Box Pile 4,Common Wooden Box Pile 4
PROPCTRL_TXT_000383,Common Wooden Barrel 2,Common Wooden Barrel 2
PROPCTRL_TXT_000384,Common Wooden Barrel 3,Common Wooden Barrel 3
PROPCTRL_TXT_000385,Common Wooden Barrel 4,Common Wooden Barrel 4
PROPCTRL_TXT_000386,Common Wooden Barrel Pile 2,Common Wooden Barrel Pile 2
PROPCTRL_TXT_000387,Common Wooden Barrel Pile 3,Common Wooden Barrel Pile 3
PROPCTRL_TXT_000388,Common Wooden Barrel Pile 4,Common Wooden Barrel Pile 4
PROPCTRL_TXT_000389,Common Wooden Barrel Pile 5,Common Wooden Barrel Pile 5
PROPCTRL_TXT_000390,Common Wooden Barrel Pile 6,Common Wooden Barrel Pile 6
PROPCTRL_TXT_000391,Common Wooden Barrel Pile 7,Common Wooden Barrel Pile 7
PROPCTRL_TXT_000392,Common Wooden Barrel Pile 8,Common Wooden Barrel Pile 8
PROPCTRL_TXT_000393,Common Wooden Barrel Pile 9,Common Wooden Barrel Pile 9
PROPCTRL_TXT_000394,Common Wooden Barrel Pile 10,Common Wooden Barrel Pile 10
PROPCTRL_TXT_000395,Common Flowers 2,Common Flowers 2
PROPCTRL_TXT_000396,Common Flowers 3,Common Flowers 3
PROPCTRL_TXT_000397,Common Flowers 4,Common Flowers 4
PROPCTRL_TXT_000398,Common Flowers 5,Common Flowers 5
PROPCTRL_TXT_000399,Common Flowers 6,Common Flowers 6
PROPCTRL_TXT_000400,Common Flowers 7,Common Flowers 7
PROPCTRL_TXT_000401,Common Flowers 8,Common Flowers 8
PROPCTRL_TXT_000402,Common Grass 2,Common Grass 2
PROPCTRL_TXT_000403,Common Grass 3,Common Grass 3
PROPCTRL_TXT_000404,Common Grass 4,Common Grass 4
PROPCTRL_TXT_000405,Common Grass 5,Common Grass 5
PROPCTRL_TXT_000406,Common Grass 6,Common Grass 6
PROPCTRL_TXT_000407,Common Grass 7,Common Grass 7
PROPCTRL_TXT_000408,Common Grass 8,Common Grass 8
PROPCTRL_TXT_000409,Common Grass 9,Common Grass 9
PROPCTRL_TXT_000410,Common Grass 10,Common Grass 10
PROPCTRL_TXT_000411,Common Grass 11,Common Grass 11
PROPCTRL_TXT_000412,Common Grass 12,Common Grass 12
PROPCTRL_TXT_000413,Common Grass 13,Common Grass 13
PROPCTRL_TXT_000414,Common Mushroom 2,Common Mushroom 2
PROPCTRL_TXT_000415,Common Mushroom 3,Common Mushroom 3
PROPCTRL_TXT_000416,Common Mushroom 4,Common Mushroom 4
PROPCTRL_TXT_000417,Common Rock 2,Common Rock 2
PROPCTRL_TXT_000418,Common Rock 3,Common Rock 3
PROPCTRL_TXT_000419,Common Rock 4,Common Rock 4
PROPCTRL_TXT_000420,Common Rock 5,Common Rock 5
