Key,English,Simplified_Chinese
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,天蓝鱼丸
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,黄鱼丸
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,粉鱼丸
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,灰鱼丸
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,白鱼丸
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,腌鲱鱼
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,三文鱼排
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,鱼肉三明治
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,盐烤鳗鱼
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,胶合板
PRODUCTION_RECIPE_NAME_RESIN,Resin,树脂
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,装饰材料
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,香柏硬木
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,樱桃硬木
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,硬松木
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,枫树硬木
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,橡树硬木
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,胡桃硬木
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,硬柚木
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,黑檀硬木
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,桃花心木
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,红漆
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,蓝漆
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,黄漆
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,绿漆
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,黑漆
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,白漆
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,金漆
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,木椅
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,木桌
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,木抽屉
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,Wooden Bookcase
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,Wooden Sofa
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,Wooden Yellow Chair
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,Wooden Yellow Table
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,Wooden Yellow Dressing Table
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,Wooden Yellow Closet
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,Wooden Yellow Bench
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,Wooden Yellow Cabinet
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,Wooden Yellow Bed
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,Wooden Blue Chair
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,Wooden Blue Table
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,Wooden Blue Dressing Table
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,Wooden Blue Closet
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,Wooden Blue Bench
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,Wooden Blue Cabinet
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,Wooden Blue Bed
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,Wooden Red Chair
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,Wooden Red Table
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,Wooden Red Dressing Table
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,Wooden Red Closet
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,Wooden Red Bench
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,Wooden Red Cabinet
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,Wooden Red Bed
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,Music Chair
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,Music Table
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,Music Dressing Table
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,Music Wardrobe
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,Music Sofa
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,Music Cabinet
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,Music Bed
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,Modern Chair
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,Modern Table
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,Modern Dressing Table
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,Modern Wardrobe
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,Modern Sofa
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,Modern Cabinet
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,Modern Bed
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,Design Black Chair
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,Design White Chair
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,Design Table
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,Design Drawer
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,Design Bookcase
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,Design Sofa
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,Heart Chair
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,Heart Table
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,Heart Dressing Table
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,Heart Wardrobe
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,Heart Sofa
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,Heart Cabinet
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,Heart Bed
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,Cushion Chair
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,Command Platform
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,Small Table
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,Drawer
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,Twin Bed
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,Royal Chair
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,Royal Table
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,Royal Dressing Table
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,Royal Wardrobe
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,Royal Sofa
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,Royal Bed
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,Royal Drawer
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,Royal Bookcase
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,Royal Desk
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,Royal Bath
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,Golden Royal Chair
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,Golden Royal Table
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,Golden Royal Dressing Table
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,Golden Royal Wardrobe
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,Golden Royal Sofa
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,Golden Royal Bed
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,Golden Royal Drawer
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,Golden Royal Bookcase
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,Golden Royal Desk
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,Golden Royal Bath
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,炼金桌
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,火炉
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,木匠台
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,锻造台
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,宝石粉末
PRODUCTION_RECIPE_NAME_MARBLE,Marble,大理石
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,水晶
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,抛光绿松石
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,青铜
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,孔雀石
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,润玉
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,抛光银
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,抛光金
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,抛光铂金
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,抛光钻石
PRODUCTION_RECIPE_NAME_GLASS,Glass,玻璃
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,人造珍珠
PRODUCTION_RECIPE_NAME_FLASK,Flask,药瓶
PRODUCTION_RECIPE_NAME_HINGE,Hinge,合页
PRODUCTION_RECIPE_NAME_SPRING,Spring,弹簧
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,黄金球体
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,珠串
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,银饰
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,金饰
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,旋转地球仪
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,水晶吊灯
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,镜子
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,攻击银饰
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,防御银饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,攻击金饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,魔攻金饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,防御金饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,魔防金饰
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,火攻琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,水攻琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,风攻琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,土攻琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,雷攻琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,火防琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,水防琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,风防琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,土防琢玉
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,雷防琢玉
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,力量戒指
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,体质戒指
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,敏捷戒指
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,智力戒指
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,金刚耳环
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,白银耳环
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,生命女神项链
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,魔力之源项链
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,活力之源项链
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,战神耳环
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,天衣耳环
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,虚幻耳环
PRODUCTION_RECIPE_NAME_PEP,Pep,血脉项链
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,魔力之钥项链
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,冰晶活力项链
PRODUCTION_RECIPE_NAME_STRENTE,Strente,神力戒指
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,神意戒指
PRODUCTION_RECIPE_NAME_DEXION,Dexion,风神戒指
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted Silver Ring,手工银戒
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted Gold Ring,手工金戒
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted Platinum Ring,手工铂戒
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted Diamond Ring,手工钻戒
