Key,English,Filipino
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.",Kahit anong paraan ang piliin mo sa pagkontrol ng kamera; pareho lang ang pag-zoom. Pwede mong i-zoom in o out gamit ang mouse wheel o ang Page Up at Page Down keys. Para mas lumapit pa ang view pindutin ang Scroll Lock.
CLIENT_HELP_INC_000011,Flying,Paglipad
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,Ang karakter na naka-level 20 at nakatapos ng flying quest ay puwede nang lumipad gamit ang walis (brooms) o flying boards.
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,Ang mga Station NPC ay nagbebenta ng iba't ibang klase ng walis at boards. Kung gusto mong ibang paraan ng paglipad tingnan ang premium shop para sa mas mabilis at mas kakaibang mga item na puwedeng gamitin sa paglipad.
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,Pano ako lilipad?
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.","Para paliparin ang character, i-equip lamang ang flying board o broom at pindutin ang Spacebar. Ikaw ay kusang bibilis hanggang maabot mo ang pinakamabilis na itatakbo nito. Para tumigil, i-press ulit ang Spacebar."
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.","Maaari mo imaneho sa paglipad ang iyong mouse o ang W,A,S,D keys."
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,Pwede ka bumili ng fuel para madagdagan ang bilis ng iyong broom o board. I-Double-click ang fuel at pindutin ang X para ma activate o de-activate ang fuel.
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,Labanan
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.","Makakatagpo ka ng daan-daang mga masamang masquerpet sa lupain ng Madrigal. Nakasalalay sa uri ng character na iyong binuo, mayroon kang maraming mga pagpipilian kung paano atakihin ang mga masasamang halimaw. Ang mga pamamaraang ito ay ipapaliwanag nang mas detalyado dito."
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.","Kasama nitong mga masquerpets na ito, pwede ka mag-engage sa matinding PVP Combat kung pipiliin mong maglaro sa Demian. Para atakihin ang players sa Demian, dapat ay i-hold ang Ctrl Key atsaka simulan ang pag-atake."
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,Malapitang Atake (Melee Attack)
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.",Ang melee na atake ay ginagawa gamit ang iba't ibang klase ng sandatang pang-malapitan—tulad ng mga espada; palakol; tungkod; at pati na mga sandatang pang-knuckle. Para atakihin ang kalaban gamit ang melee; isuot lang ang iyong sandata; i-target ang kalaban; at i-click gamit ang kanang pindutan ng mouse.
CLIENT_HELP_INC_000034,Ranged Attack,Atakeng Panlayo (Ranged Attack)
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.",Ang mga atakeng panlayo ay ginagawa gamit ang mga yo-yo at pana. Para atakihin ang kalaban mula sa malayo; isuot ang angkop na sandata; i-target ang kalaban; at i-click gamit ang kanang pindutan ng mouse sa target. Tandaan na kailangan ng mga pana ng palaso para magamit.
CLIENT_HELP_INC_000036,Magic Attack,Mahiwagang Atake (Magic Attack)
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,Ang mga wand ay may espesyal na kakayahan para maglunsad ng charged na magic na atake. Gawin ito sa pamamagitan ng pagpindot at paghawak sa kanang pindutan ng mouse pagkatapos mong piliin ang target. Bitawan ang pindutan para ilunsad ang iyong atake.
CLIENT_HELP_INC_000038,Equipping items,Pagsusuot ng Item (Equipping items)
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.",Para magsuot ng item; buksan ang iyong inventory at i-double click ang item na gusto mong isuot. Kusang papalitan nito ang kasalukuyang suot mong item sa slot. I-double click ang naka-suot na item para alisin ito.
CLIENT_HELP_INC_000040,Using Items,Paggamit ng Mga Item
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,Para gumamit ng isang item; i-double click lang ito. Maaari mo ring ilagay ang item sa iyong Karagdagang Bag (Extra Bag) sa pamamagitan ng pagbukas nito at pag-drag ng item papunta roon; maaaring mahulog ang item kapag inalis mo ito mula sa lalagyan. Maaari mong ilagay ang item sa taskbar sa ilalim ng iyong screen. Magagamit mo ito agad gamit ang katumbas na shortcut key o sa pamamagitan ng pag-click gamit ang mouse. Mag-right click sa isang item para alisin ito mula sa mabilisang slot.
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,Maaari kang maglagay ng gamit sa task bar na matatagpuan sa ilalim ng iyong screen. Posibleng gamitin ito kaagad sa kaukulang Hot Key o sa pamamagitan ng pag-pindot gamit ang iyong Mouse. Mag-right click sa isang gamit upang alisin ang gamit mula sa mabilis na puwang.
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,Kwentuhan
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.","Ang pagpindot ng Enter ay magbubukas ng Chat Menu kung ito ay nakasarado. Kapag bukas ang Chat Menu, pindutin lang ang Enter para i-toggle ang chat input. Kapag natapos mo nang i-type ang mensahe, pindutin ang Enter para maipadala ito. Makikita mo rin ang mga button para sa Whisper, Shout, Party, at Guild na magfi-filter ng mensahe ayon sa target na grupo. May mga opsyon din para i-filter ang papasok na mensahe at mga mensahe mula sa System."
CLIENT_HELP_INC_000046,NPC Trading,Pakikipagkalakal sa NPC
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.","Para makipagkalakal sa NPC, i-left click ang NPC at piliin ang Trade o Kalakalan."
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,"Para bumili ng item, i-drag lang ito papunta sa iyong inventory. Lalabas ang presyo at kapag tinanggap mo ang presyo lalabas ang confirmation window. Tanggapin ang confirmation window para tapusin ang transaksiyon."
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.","Kung magbebenta ka ng item, i-drag lang ito mula sa inventory papunta sa NPC trade window."
CLIENT_HELP_INC_000050,Player Trading,Pakikipagkalakal sa Ibang Player
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.","Kung gusto mong makipagkalakal sa ibang player, i-hold ang ALT at i-left click ang player o i-right click ang player. Lalabas ang isang menu, piliin ang trade at maghintay na i-accept ng kabilang player ang trade."
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.","Kapag bukas na ang trade window pwede mong i-drag ang items o Penya papunta sa window. Siguraduhing tama ang lahat bago pindutin ang OK o ACCEPT. Huwag magpahiram ng items dahil maaaring hindi na ito maibalik. Tiyakin ding makukuha mo ang tamang items o tamang halaga ng Penya bago ituloy ang trade. Lahat ng trade ay sa sariling risk kaya mag-ingat palagi. Kung mawalan ka ng gamit, makakuha ng maling item, o maling halaga ng Penya, hindi na ito madaling mababawi. Kung parang may mali sa trade, i-click ang CANCEL para hindi ituloy ang transaksiyon."
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,"Kapag inilagay mo ang items sa trade window at pinindot ang OK at parehong na-ACCEPT ang trade, ang mga item ay mapupunta sa inventory mo. Kung puno ang inventory, ma-ca-cancel ang trade."
CLIENT_HELP_INC_000054,Quests,Quests
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.",Ang NPC na may dilaw na ! sa ibabaw ng ulo ay may quest na puwede mong tanggapin. Piliin ang NPC at piliin ang New Quest para makita ang lahat ng available quests at ang level na kailangan para tanggapin ang quest.
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,Kumpletuhin ang maraming quests hangga't kaya mo dahil nagbibigay ito ng mga gantimpala at mahalagang EXP bonuses.
CLIENT_HELP_INC_000057,Interface,Interface
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,Dito makikita ang detalye ng iba't ibang menu na gagamitin mo habang naglalaro.
CLIENT_HELP_INC_000059,Status Menu,Status Menu
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.","Pwede mong i-toggle ang window na ito gamit ang T. Ipapakita nito ang kabuuang estado ng karakter mo kabilang ang Health Points, Magic Points, Focus Points, Experience, at Bubble Time."
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.",Tumaas ang total HP kapag nadagdagan ang STA; mas mataas ang HP mas matagal mabubuhay. Kailangan ang MP para sa magician at assist skills; tumataas ang total MP kapag nadagdagan ang INT. Kailangan ang FP para sa melee attack skills ng mercenary; tumataas ang total FP kapag nadagdagan ang STA.
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,Ipinapakita ng EXP ang kinakailangang karanasan para mag-level up. Nakukuha ang EXP sa pagpatay ng mga halimaw at pagkompleto ng quests. Ang Bubble Time ay isang espesyal na buff na nagbibigay ng bonus EXP; napupuno ito sa Guild House at may paliwanag din sa Help Menu.
CLIENT_HELP_INC_000063,Character Menu,Character Menu
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.","Buksan o isara ang menu na ito gamit ang H. Makikita dito ang importanteng impormasyon tungkol sa karakter tulad ng pangalan, job, level, atbp. Ang Detail section ay nagpapakita ng status depende sa suot na equipment at level, at makikita rin ang PVP/PK information."
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.",Kapag tumaas ng level makakakuha ka ng STAT Points na pwede mong i-assign sa menu na ito. Nakukuha ang STAT Points kapag nag-level up at dinadagdag ang base abilities.
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.","Ang ATK ang basehan ng attack power mo at kung gaano kalaki ang damage na kaya mong ibato sa kalaban. Ang DEF naman ang nagpapakita kung gaano karaming damage ang nababawasan mula sa atake ng kalaban. Ipinapakita ng Critical ang tsansa na makagawa ng critical attack, at ang Attack Speed ang bilis ng pag-atake ng karakter."
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","Ang STR ay nakakaapekto sa attack power ng lahat ng melee weapons. Ang STA naman ay nakakaapekto sa depensa, max HP, max FP, at restoration ng HP/FP. Ang DEX ay nakakaapekto sa attack speed, dodge, blocking, critical chance, at power ng bow attack. Ang INT ay nakakaapekto sa maximum MP, MP restoration, spell damage, at depensa."
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,Sa Fame/Master tab makikita mo ang lahat ng titles na nakuha mo. Piliin ang title na gusto mong ipakita sa mundo.
CLIENT_HELP_INC_000069,Chat Menu,Chat Menu
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.","Pindutin ang Enter para buksan ang chat at doon ka magta-type. Posible ang Chat, Whisper, Shout, Party, at Guild chats. Pwede mong i-click ang system button para makita ang mga system messages."
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.","Kung gusto mong kopyahin ang isang mensahe at i-paste gamit ang shortcut key bago mag-type, huwag pindutin ang Enter; i-drag ang balloon mark sa kaliwang bahagi ng chat window papunta sa quick slot."
CLIENT_HELP_INC_000072,Navigator,Navigator
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,Pindutin ang N para buksan ang Navigator. Ang Navigator ang mini-map sa upper-right ng screen.
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.","Ipinapakita ang mga NPC bilang purple na tuldok at ang ibang players bilang puting tuldok. Makikita rin ang NPC shops gamit ang icon ng uri ng shop. Kung may quest, hanapin ang dilaw at itim na tuldok. Ang dilaw at orange na tuldok ay mga kalaban. Kung i-click mo ang tuldok gamit ang mouse makikita ang pangalan ng target."
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,"May mga button sa mini-map para tumulong, tulad ng zoom in at zoom out gamit ang + at - icons. Pwede ring pumili sa drop down kung ano lang ang lalabas sa mini-map."
CLIENT_HELP_INC_000076,Skill Menu,Skill Menu
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,Buksan ang Skill Menu gamit ang K. Dito makikita ang skills at skill tree ng karakter. Pwede mong i-upgrade ang skills kapag na-meet ang requirements.
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.","Para gamitin ang skills, i-drag ang skill papunta sa quick slots sa ilalim at gitna ng screen at gamitin ang F1–F9. Pwede ring i-drag ang skill papunta sa Action Slot sa baba-kanang bahagi ng screen at pindutin ang C."
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.","Kailangan ng Skill Points para itaas ang level ng skill. Nakukuha ang Skill Points kapag nag-level up. I-click ang skill na gusto mong dagdagan, i-adjust ang level gamit ang plus at minus buttons, at i-click ang Finish."
CLIENT_HELP_INC_000080,Inventory,Inventory
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.","Ang inventory ay nagpapakita ng lahat ng gamit at suot ng karakter mo. Pwede mong itabi ang weapons, armor, items, Penya, at iba pang bagay sa inventory. Buksan ang inventory gamit ang I."
CLIENT_HELP_INC_000082,Messenger Menu,Messenger Menu
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.","Pwede kang makipag-chat sa mga kaibigan o guildmates at makita ang kanilang connection status. Nag-a-update ang listahan habang nagdadagdag ng kaibigan at guild members. Para magdagdag ng kaibigan, i-hold ang ALT at i-left click ang karakter at piliin ang add to my list o i-click ang plus icon sa ibaba ng messenger window. Kusang nag-uupdate ang guild list kapag may pumapasok o umaalis na players. May tab din para sa Mentor-Pupil status na ipapaliwanag sa ibang bahagi ng Help Guide."
CLIENT_HELP_INC_000084,Quest Menu,Quest Menu
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.","Pindutin ang Q para makita ang progress ng kasalukuyang quests at iba pang importanteng impormasyon. Hati-hati ang menu sa iba't ibang tabs para mas madaling ayusin ang quests. Kapag pinili mo ang isang quest mula sa listahan, madadagdag ito sa screen display para masundan agad ang progress."
CLIENT_HELP_INC_000086,Emotes Menu,Emotes Menu
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,Ipinapakita ng window na ito ang emoticon at motion icons.
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,Buksan ang menu gamit ang hotkey O. Pwede mong i-left click ang icon para gamitin agad o i-drag ito sa shortcut window at gamitin mula doon.
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,Party Menu
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.",Pwede mo makita at i-manage ang party sa window na ito. Mayroong basic at advanced parties. Ang basic parties ay grupo kung saan nagsheshare ka ng exp at items sa iba mong kasama. Ang advanced party ay puwedeng gumamit ng iba't ibang party skills. Pag umabot ng level 10 ang isang basic party puwede na itong gawing advanced at magamit ang party skills
CLIENT_HELP_INC_000092,Guild Menu,Guild Menu
CLIENT_HELP_INC_000093,"A Guild is a bigger community than a party and anyone level 40 or higher can create one. You have to complete the quest from NPC Helena to make a guild. The Info tab shows general information and notices, the member tab allows you to manage guild members, the title tab shows titles and allows you to pay members, and the duel tab shows info on your guild duels.",Ang guild ay mas malaking grupo kaysa party at puwedeng gawin ng karakter na level 40 pataas. Kailangan mong kumpletuhin ang quest mula kay NPC Helena para makagawa ng guild. Ang info tab ay nagpapakita ng general information at notices. Ang member tab ay nagpapakita ng guild members. Ang title tab ay nagpapakita ng titles at options para magbayad sa members. Ang duel tab ay nagpapakita ng impormasyon tungkol sa guild duels
CLIENT_HELP_INC_000094,Options Tab,Options Tab
CLIENT_HELP_INC_000095,This window configures the basic details and options for the Game and can be found in the Start Tab. There are many settings here and they have been separated into two Tabs: Video and Game / Audio.,Ang window na ito ang nag-aayos ng basic na detalye at mga options para sa laro at makikita sa Start Tab. Maraming settings dito at nahahati sa dalawang tab Video at Game / Audio
CLIENT_HELP_INC_000096,Video,Video
CLIENT_HELP_INC_000097,This window is for video settings. If you set the options to their highest settings you may encounter some additional lag. You will also see other settings for various visual elements.,Ang window na ito para sa video settings. Kung ilalagay mo sa pinakamataas ang options maaaring madagdagan ang lag. Makikita mo rin ang iba pang settings para sa iba't ibang visual elements
CLIENT_HELP_INC_000098,Game / Audio,Game / Audio
CLIENT_HELP_INC_000099,"From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music.",Mula sa tab na ito puwede mong payagan o harangan ang Trades; Whispers; Friend Requests; Duel Requests; Party Requests; at iba pang options. Pwede mo ring kontrolin ang audio levels at Battle Music
CLIENT_HELP_INC_000100,Helper Tab,Helper Tab
CLIENT_HELP_INC_000101,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.,Pag piliin ang Help Tab mula sa Start menu magbubukas ang iba't ibang teksto na makakatulong. Dito makikita ang iba't ibang bagay na makakatulong sa iyo
CLIENT_HELP_INC_000102,Help,Help
CLIENT_HELP_INC_000103,This selection includes the Helper Tree you are currently looking at. There are numerous topics here that are described in detail to help give you a better understanding of the game.,Kasama rito ang Helper Tree na nakikita mo ngayon. Maraming topics dito na may mga detalye para mas maintindihan ang laro
CLIENT_HELP_INC_000104,Tips,Tips
CLIENT_HELP_INC_000105,This selection contains tips that help with game play and other things that are easily overlooked.,Dito makikita ang mga tips na makakatulong sa gameplay at mga bagay na madalas nakakalimutan
CLIENT_HELP_INC_000106,FAQ,FAQ
CLIENT_HELP_INC_000107,This is the FAQ window. When you have questions you should start here as there are numerous answers to various questions.,Ito ang FAQ window. Kung may tanong ka magsimula ka rito dahil maraming sagot sa iba't ibang uri ng tanong
CLIENT_HELP_INC_000108,Information Tab,Information Tab
CLIENT_HELP_INC_000109,This tab will give you access to the In-Game notice. Various information and major news will be listed here from time to time. This notice is also displayed by default when the game launches.,Ang tab na ito nagbibigay access sa in game notices. Iba't ibang impormasyon at mahahalagang balita ang ilalabas dito paminsan minsan. Ang notice na ito rin ang ipinapakita nang default kapag naglunsad ang laro
CLIENT_HELP_INC_000110,Revive Menu,Revive Menu
CLIENT_HELP_INC_000111,"This window opens when your HP reaches 0. There are three options, 'Lodestar' which allows you to revive from the nearest town. If you have a 'Scroll of Resurrection' you can revive from the spot with the 'Original Place' option. You can also visit the Cash item shop through this menu.",Bubukas ang window na ito kapag umabot ang HP mo sa 0. May tatlong pagpipilian. Ang Lodestar ay magrerevive sa iyo papunta sa pinakamalapit na bayan. Kung may Scroll of Resurrection puwede kang mabuhay sa parehong lugar ng pagkamatay gamit ang Original Place option. Pwede ka ring pumunta sa Cash item shop mula sa menu na ito
CLIENT_HELP_INC_000112,Trade Menu,Trade Menu
CLIENT_HELP_INC_000113,"If you either initiate a Trade or Accept another players Trade Request, you will be presented with this menu. From here you can trade Penya and other various items. The trade will have to be confirmed before it is completed.",Kapag nagsimula ka ng trade o nag accept ng trade request mula sa ibang player ipapakita ang menu na ito. Mula rito puwede kang makipag trade ng Penya at iba't ibang klase ng items. Kailangang i confirm ang trade bago ito makumpleto
CLIENT_HELP_INC_000114,Bank Menu,Bank Menu
CLIENT_HELP_INC_000115,This Menu will allow you to store various items and Penya without taking up space in your inventory. You can access your bank from the [Public Office] NPC in each major city.,Ang menu na ito nagbibigay kakayahan mag iimbak ng iba't ibang items at Penya para hindi mapuno ang inventory. Mabubuksan ang bank mula sa Public Office NPC sa mga malalaking lungsod
CLIENT_HELP_INC_000116,Task Bar,Task Bar
CLIENT_HELP_INC_000117,"This section refers to the bar that runs along the bottom of your screen. It houses your Start Menu, System Slots, and Quick Action Slots.",Tungkol ito sa bar sa bandang baba ng screen. Nasa loob nito ang Start Menu; System Slots; at Quick Action Slots
CLIENT_HELP_INC_000118,Start Menu,Start Menu
CLIENT_HELP_INC_000119,This Menu allows the user to access all of the game options and various game play functions. Many of the Hot Keyed Menus can be accessed through the Start Menu.,Ang menu na ito nagbibigay ng access sa lahat ng options sa laro at iba't ibang gameplay functions. Marami sa mga naka hotkey na menu puwedeng buksan mula sa Start Menu
CLIENT_HELP_INC_000120,System Slots,System Slots
CLIENT_HELP_INC_000121,"This refers to the slots to the right of the Start Menu. These slots are used so that users can quickly access skills, save text strings, or other various tasks they want to repeat.",Ito ang mga slot sa kanang bahagi ng Start Menu. Ginagamit ito para mabilis ma access ang skills; mag save ng text strings; o iba pang gawain na gusto mong ulitin
CLIENT_HELP_INC_000122,Hot Keys,Hot Keys
