Key,English,French
PROPCTRL_TXT_000083,Metaverse Bench,Banc du Metaverse
PROPCTRL_TXT_000084,Metaverse Candle,Bougie du Metaverse
PROPCTRL_TXT_000085,Metaverse Cat Supplies,Fournitures de Chat du Metaverse
PROPCTRL_TXT_000086,Metaverse Chair,Chaise du Metaverse
PROPCTRL_TXT_000087,Metaverse Basic Desk,Bureau Simple du Metaverse
PROPCTRL_TXT_000088,Metaverse Wooden Desk,Bureau en Bois du Metaverse
PROPCTRL_TXT_000089,Metaverse Boss Desk,Bureau du Boss du Metaverse
PROPCTRL_TXT_000090,Metaverse Student Desk,Bureau d'Étudiant du Metaverse
PROPCTRL_TXT_000091,Metaverse Pencil Case,Trousse à Crayon du Metaverse
PROPCTRL_TXT_000092,Metaverse Plant,Plante du Metaverse
PROPCTRL_TXT_000093,Metaverse Tree Pot,Pot de Fleurs du Metaverse
PROPCTRL_TXT_000094,Metaverse Slippers,Pantoufles du Metaverse
PROPCTRL_TXT_000095,Metaverse Single Sofa,Sofa Simple du Metaverse
PROPCTRL_TXT_000096,Metaverse Pouffe Seat,Pouf du Metaverse
PROPCTRL_TXT_000097,Metaverse Sofa,Sofa du Metaverse
PROPCTRL_TXT_000098,Metaverse Round Table,Table Ronde du Metaverse
PROPCTRL_TXT_000099,Metaverse Storage Table,Table de Rangement du Metaverse
PROPCTRL_TXT_000100,Metaverse Decorative Table,Table Décorative du Metaverse
PROPCTRL_TXT_000101,Metaverse Violin,Violon du Metaverse
PROPCTRL_TXT_000102,Wooden Yellow Chair,Chaise en Bois Jaune
PROPCTRL_TXT_000103,Wooden Yellow Table,Table en Bois Jaune
PROPCTRL_TXT_000104,Wooden Yellow Dressing Table,Coiffeuse en Bois Jaune
PROPCTRL_TXT_000105,Wooden Yellow Closet,Placard en Bois Jaune
PROPCTRL_TXT_000106,Wooden Yellow Bench,Banc en Bois Jaune
PROPCTRL_TXT_000107,Wooden Yellow Cabinet,Armoire en Bois Jaune
PROPCTRL_TXT_000108,Wooden Yellow Bed,Lit en Bois Jaune
PROPCTRL_TXT_000109,Wooden Blue Chair,Chaise en Bois Bleue
PROPCTRL_TXT_000110,Wooden Blue Table,Table en Bois Bleue
PROPCTRL_TXT_000111,Wooden Blue Dressing Table,Coiffeuse en Bois Bleue
PROPCTRL_TXT_000112,Wooden Blue Closet,Placard en Bois Bleu
PROPCTRL_TXT_000113,Wooden Blue Bench,Banc en Bois Bleu
PROPCTRL_TXT_000114,Wooden Blue Cabinet,Armoire en Bois Bleue
PROPCTRL_TXT_000115,Wooden Blue Bed,Lit en Bois Bleu
PROPCTRL_TXT_000116,Wooden Red Chair,Chaise en Bois Rouge
PROPCTRL_TXT_000117,Wooden Red Table,Table en Bois Rouge
PROPCTRL_TXT_000118,Wooden Red Dressing Table,Coiffeuse en Bois Rouge
PROPCTRL_TXT_000119,Wooden Red Closet,Placard en Bois Rouge
PROPCTRL_TXT_000120,Wooden Red Bench,Banc en Bois Rouge
PROPCTRL_TXT_000121,Wooden Red Cabinet,Armoire en Bois Rouge
PROPCTRL_TXT_000122,Wooden Red Bed,Lit en Bois Rouge
PROPCTRL_TXT_000123,Music Chair,Chaise Musicale
PROPCTRL_TXT_000124,Music Table,Table Musicale
PROPCTRL_TXT_000125,Music Dressing Table,Coiffeuse Musicale
PROPCTRL_TXT_000126,Music Wardrobe,Penderie Musicale
PROPCTRL_TXT_000127,Music Sofa,Sofa Musical
PROPCTRL_TXT_000128,Music Cabinet,Armoire Musicale
PROPCTRL_TXT_000129,Music Bed,Lit Musical
PROPCTRL_TXT_000130,Heart Chair,Chaise Cœur
PROPCTRL_TXT_000131,Heart Table,Table Cœur
PROPCTRL_TXT_000132,Heart Dressing Table,Coiffeuse Cœur
PROPCTRL_TXT_000133,Heart Wardrobe,Penderie Cœur
PROPCTRL_TXT_000134,Heart Sofa,Sofa Cœur
PROPCTRL_TXT_000135,Heart Cabinet,Armoire Cœur
PROPCTRL_TXT_000136,Heart Bed,Lit Cœur
PROPCTRL_TXT_000137,Modern Chair,Chaise Moderne
PROPCTRL_TXT_000138,Modern Table,Table Moderne
PROPCTRL_TXT_000139,Modern Dressing Table,Coiffeuse Moderne
PROPCTRL_TXT_000140,Modern Wardrobe,Penderie Moderne
PROPCTRL_TXT_000141,Modern Sofa,Sofa Moderne
PROPCTRL_TXT_000142,Modern Cabinet,Armoire Moderne
PROPCTRL_TXT_000143,Modern Bed,Lit Moderne
PROPCTRL_TXT_000144,Royal Chair,Chaise Royale
PROPCTRL_TXT_000145,Royal Table,Table Royale
PROPCTRL_TXT_000146,Royal Dressing Table,Coiffeuse Royale
PROPCTRL_TXT_000147,Royal Wardrobe,Penderie Royale
PROPCTRL_TXT_000148,Royal Sofa,Sofa Royal
PROPCTRL_TXT_000149,Royal Bed,Lit Royal
PROPCTRL_TXT_000150,Royal Drawer,Commode Royale
PROPCTRL_TXT_000151,Royal Bookcase,Bibliothèque Royale
PROPCTRL_TXT_000152,Royal Desk,Bureau Royal
PROPCTRL_TXT_000153,Royal Bath,Baignoire Royale
PROPCTRL_TXT_000154,Golden Royal Chair,Chaise Royale Dorée
PROPCTRL_TXT_000155,Golden Royal Table,Table Royale Dorée
PROPCTRL_TXT_000156,Golden Royal Dressing Table,Coiffeuse Royale Dorée
PROPCTRL_TXT_000157,Golden Royal Wardrobe,Penderie Royale Dorée
PROPCTRL_TXT_000158,Golden Royal Sofa,Sofa Royal Doré
PROPCTRL_TXT_000159,Golden Royal Bed,Lit Royal Doré
PROPCTRL_TXT_000160,Golden Royal Drawer,Commode Royale Dorée
PROPCTRL_TXT_000161,Golden Royal Bookcase,Bibliothèque Royale Dorée
PROPCTRL_TXT_000162,Golden Royal Desk,Bureau Royal Doré
PROPCTRL_TXT_000163,Golden Royal Bath,Baignoire Royale Dorée
PROPCTRL_TXT_000164,Design Black Chair,Chaise Design Noire
PROPCTRL_TXT_000165,Design White Chair,Chaise Design Blanche
PROPCTRL_TXT_000166,Design Table,Table Design
PROPCTRL_TXT_000167,Design Drawer,Commode Design
PROPCTRL_TXT_000168,Design Bookcase,Bibliothèque Design
PROPCTRL_TXT_000169,Design Sofa,Sofa Design
PROPCTRL_TXT_000170,Wooden Chair,Chaise en Bois
PROPCTRL_TXT_000171,Wooden Table,Table en Bois
PROPCTRL_TXT_000172,Wooden Drawer,Table en bois avec tiroir
PROPCTRL_TXT_000173,Wooden Bookcase,Bibliothèque en Bois
PROPCTRL_TXT_000174,Wooden Sofa,Sofa en Bois
PROPCTRL_TXT_000175,Flaris Ground Field,Champ de Terre de Flaris
PROPCTRL_TXT_000176,Flaris Anvil,Enclume de Flaris
PROPCTRL_TXT_000177,Flaris Bench,Banc de Flaris
PROPCTRL_TXT_000178,Flaris Chariot,Charrette de Flaris
PROPCTRL_TXT_000179,Flaris Fence 1,Clôture de Flaris 1
PROPCTRL_TXT_000180,Flaris Floor Lamp,Lampadaire de Flaris
PROPCTRL_TXT_000181,Flaris Wall Lamp,Lampe Murale de Flaris
PROPCTRL_TXT_000182,Flaris Pot 1,Jardinière de Flaris
PROPCTRL_TXT_000183,Flaris Small Sign,Petit Panneau de Flaris
PROPCTRL_TXT_000184,Flaris Medium Sign,Panneau de Flaris Moyen
PROPCTRL_TXT_000185,Flaris Large Sign,Grand Panneau de Flaris
PROPCTRL_TXT_000186,Flaris Boat Sign,Panneau Naval de Flaris
PROPCTRL_TXT_000187,Flaris Rotating Sign,Panneau Rotatif de Flaris
PROPCTRL_TXT_000188,Common Green Tree 1,Arbre Vert Commun
PROPCTRL_TXT_000189,Common Wooden Box 1,Boîte en Bois Commune 1
PROPCTRL_TXT_000190,Common Wooden Box Pile 1,Pile de Boîtes en Bois Communes 1
PROPCTRL_TXT_000191,Common Wooden Barrel 1,Tonneau en Bois Commun 1
PROPCTRL_TXT_000192,Common Wooden Barrel Pile 1,Piles de Tonneaux en Bois Communs 1
PROPCTRL_TXT_000193,Common Flowers 1,Fleurs Communes 1
PROPCTRL_TXT_000194,Common Grass 1,Herbe Commune 1
PROPCTRL_TXT_000195,Common Mushroom 1,Champignon commun 1
PROPCTRL_TXT_000196,Common Rock 1,Pierre Commune 1
PROPCTRL_TXT_000197,Common Autumn Tree,Arbre d'Automne Commun
PROPCTRL_TXT_000198,Common Sakura Tree 1,Cerisier Sakura Commun 1
PROPCTRL_TXT_000199,Common Burned Tree,Arbre Brûlé Commun
PROPCTRL_TXT_000200,St Morning Bench,Banc de Saint Morning
PROPCTRL_TXT_000201,St Morning Chariot,Charrette de Saint Morning
PROPCTRL_TXT_000202,St Morning Rock Arch 1,Arche Minérale de Saint Morning 1
PROPCTRL_TXT_000203,St Morning Flag 1,Drapeau de Saint Morning 1
PROPCTRL_TXT_000204,St Morning Flower Bed,Jardinière Fleurie de Saint Morning
PROPCTRL_TXT_000205,St Morning Rock 1,Pierre de Saint Morning 1
PROPCTRL_TXT_000206,St Morning Light 1,Lampe de Saint Morning 1
PROPCTRL_TXT_000207,St Morning Sign,Panneau de Saint Morning
PROPCTRL_TXT_000208,Darkon Wagon 1,Chariot de Darkon 1
PROPCTRL_TXT_000209,Darkon Sign 1,Panneau de Darkon 1
PROPCTRL_TXT_000210,Darkon Big Box 1,Boîte Volumineuse de Darkon 1
PROPCTRL_TXT_000211,Darkon Brown Rock 1,Pierre Marron de Darkon 1
PROPCTRL_TXT_000212,Darkon Barrel 1,Tonneau de Darkon 1
PROPCTRL_TXT_000213,Darkon Ground Window,Fenêtre décorative de Darkon
PROPCTRL_TXT_000214,Darkon Light 1,Lampe de Darkon 1
PROPCTRL_TXT_000215,Darkon Mushroom 1,Champignon de Darkon 1
PROPCTRL_TXT_000216,Darkon Tree 1,Arbre de Darkon 1
PROPCTRL_TXT_000217,Darkon Plant,Plante de Darkon
PROPCTRL_TXT_000218,Azria Plant 1,Plante d'Azria 1
PROPCTRL_TXT_000219,Azria Tree 1,Arbre d'Azria 1
PROPCTRL_TXT_000220,Azria Light 1,Lampe d'Azria 1
PROPCTRL_TXT_000221,Azria Rock 1,Pierre d'Azria 1
PROPCTRL_TXT_000222,Azria Mushroom 1,Champignon d'Azria 1
PROPCTRL_TXT_000223,Azria Chariot,Charrette d'Azria
PROPCTRL_TXT_000224,Azria Crystal,Cristal d'Azria
PROPCTRL_TXT_000225,Azria Grass 1,Herbe d'Azria 1
PROPCTRL_TXT_000226,Azria Sign 1,Panneau d'Azria 1
PROPCTRL_TXT_000227,Azria Box Pile,Pile de Boîtes d'Azria
PROPCTRL_TXT_000228,Azria Box 1,Boîte d'Azria 1
PROPCTRL_TXT_000229,Coral Island Tree 1,Arbre de l'Île Corail 1
PROPCTRL_TXT_000230,Coral Island Shellfish 1,Coquillage de l'Île Corail 1
PROPCTRL_TXT_000231,Coral Island Coral 1,Corail de l'Île Corail 1
PROPCTRL_TXT_000232,Coral Island Starfish 1,Étoile de Mer de l'Île Corail 1
PROPCTRL_TXT_000233,Coral Island Table 1,Table de l'Île Corail 1
PROPCTRL_TXT_000234,Coral Island Beach Umbrella ,Parasol de l'Île Corail
PROPCTRL_TXT_000235,Basic Wall,Mur de base
PROPCTRL_TXT_000236,Flaris Wall,Mur de Flaris
PROPCTRL_TXT_000237,Cove Wall,Mur de Crique
PROPCTRL_TXT_000238,Coral Island Wall,Mur de l'Île Corail
PROPCTRL_TXT_000239,Forsaken Wall,Mur Oublié
PROPCTRL_TXT_000240,Secret Wall,Mur Secret
PROPCTRL_TXT_000241,Colosseum Wall,Mur du Colisée
PROPCTRL_TXT_000242,Darkon Light Wall,Mur clair de Darkon
PROPCTRL_TXT_000243,Darkon Wooden Wall,Mur en bois de Darkon
PROPCTRL_TXT_000244,Darkon Metal Wall,Mur en métal de Darkon
PROPCTRL_TXT_000245,Mechanical Wall,Mur Mécanique
PROPCTRL_TXT_000246,Cottage Wall,Mur de Chalet
PROPCTRL_TXT_000247,Ivillis Wall,Mur d'Ivillis
PROPCTRL_TXT_000248,Royal Wall,Mur Royal
PROPCTRL_TXT_000249,Plain Wall,Mur Uni
PROPCTRL_TXT_000250,Deck Wall,Papier peint Blanc Royal
PROPCTRL_TXT_000251,Forest Wall,Mur forestier
PROPCTRL_TXT_000252,Metallic Wall,Mur métallique
PROPCTRL_TXT_000253,Construction Wall,Mur de construction
PROPCTRL_TXT_000254,Saint Morning Wall,Mur Saint Morning
PROPCTRL_TXT_000255,Basic Floor,Sol de base
PROPCTRL_TXT_000256,White Floor,Sol blanc
PROPCTRL_TXT_000257,Bordered Cove Floor,Sol de Crique avec bordure
PROPCTRL_TXT_000258,Plain Cove Floor,Sol de Crique simple
PROPCTRL_TXT_000259,Small Plank Floor,Sol à petites lattes
PROPCTRL_TXT_000260,Crate Floor,Sol de caisses
PROPCTRL_TXT_000261,Platform Floor,Sol de plateforme
PROPCTRL_TXT_000262,Light Plank Floor,Sol en planches claires
PROPCTRL_TXT_000263,Light Brick Floor,Sol en briques claires
PROPCTRL_TXT_000264,Scrap Wood Floor,Sol en bois déchiqueté
PROPCTRL_TXT_000265,Pale Wood Floor,Sol en bois clair
PROPCTRL_TXT_000266,Mossy Brick Floor,Sol en briques moussues
PROPCTRL_TXT_000267,Shipwreck Floor,Sol d'épave
PROPCTRL_TXT_000268,Construction Floor,Sol de construction
PROPCTRL_TXT_000269,Mars Floor,Sol mars
PROPCTRL_TXT_000270,Forsaken Brick Floor,Sol en briques Oublié
PROPCTRL_TXT_000271,Ominous Floor,Sol sinistre
PROPCTRL_TXT_000272,Golden Floor,Sol en or
PROPCTRL_TXT_000273,Bordered Secret Floor,Sol Secret avec bordure
PROPCTRL_TXT_000274,Plain Secret Floor,Plancher Secret Simple
PROPCTRL_TXT_000275,Darkon Wooden Plain Floor,Sol en Bois simple de Darkon
PROPCTRL_TXT_000276,Darkon Wooden Mosaic Floor,Sol de mosaïque en Bois de Darkon
PROPCTRL_TXT_000277,Forsaken Blue Floor,Sol bleu Oublié
PROPCTRL_TXT_000278,Plain Forsaken Blue Floor,Sol bleu Oublié simple
PROPCTRL_TXT_000279,Wilds Floor,Sol Sauvage
PROPCTRL_TXT_000280,Pebble Floor,Sol de Galets
PROPCTRL_TXT_000281,Fortress Floor,Sol de Forteresse
PROPCTRL_TXT_000282,Cracked Floor,Sol Fissuré
PROPCTRL_TXT_000283,Volcanic Floor,Revêtement Volcanique
PROPCTRL_TXT_000284,Modern Floor,Sol Moderne
PROPCTRL_TXT_000285,Pipe Floor,Sol de Tuyaux
PROPCTRL_TXT_000286,Darkon Metal Mosaic Floor,Sol Mosaïque Métallique Darkon
PROPCTRL_TXT_000287,Darkon Metal Grid Lattice Floor,Sol Grille Métallique Darkon
PROPCTRL_TXT_000288,Darkon Metal Plain Floor,Sol Métal Simple Darkon
PROPCTRL_TXT_000289,Forged Floor,Sol Forgé
PROPCTRL_TXT_000290,Industrial Floor,Sol Industriel
PROPCTRL_TXT_000291,Colosseum Floor,Sol du Colisée
PROPCTRL_TXT_000292,Dungeon Floor,Sol de Donjon
PROPCTRL_TXT_000293,Bright Wooden Floor,Sol en Bois Clair
PROPCTRL_TXT_000294,Honey Wooden Floor,Sol en Bois Miel
PROPCTRL_TXT_000295,Ancient Floor,Sol Ancien
PROPCTRL_TXT_000296,Pier Floor,Sol de Quai
PROPCTRL_TXT_000297,Dark Stacked Wooden Floor,Sol en Bois Aggloméré Sombre
PROPCTRL_TXT_000298,Light Stacked Wooden Floor,Sol en Bois Aggloméré Clair
PROPCTRL_TXT_000299,Dark Plank Floor,Sol en Planches Sombre
PROPCTRL_TXT_000300,Cracked Marble Floor,Sol en Marbre Fissuré
PROPCTRL_TXT_000301,Battle Floor,Sol de Bataille
PROPCTRL_TXT_000302,Branch Floor,Sol en Branches
PROPCTRL_TXT_000303,Tree Floor,Sol d'Arbres
PROPCTRL_TXT_000304,Royal Carpet Floor,Sol en Tapis Royal
PROPCTRL_TXT_000305,Rhisis Floor,Sol Rhisis
PROPCTRL_TXT_000306,Dirt Floor,Sol de Terre
PROPCTRL_TXT_000307,Flarine Floor,Sol Flarine
PROPCTRL_TXT_000308,Gravel Floor,Sol de Gravier
PROPCTRL_TXT_000309,Bordered Plank Floor,Sol en Bois avec Bordure
PROPCTRL_TXT_000310,Basic Ceiling,Plafond de Base
PROPCTRL_TXT_000311,White Ceiling,Plafond Blanc
PROPCTRL_TXT_000312,Bordered Cove Ceiling,Plafond de Crique avec Bordure
PROPCTRL_TXT_000313,Plain Cove Ceiling,Plafond de Crique Simple
PROPCTRL_TXT_000314,Small Plank Ceiling,Plafond en Petites Planches
PROPCTRL_TXT_000315,Crate Ceiling,Plafond en Caisse
PROPCTRL_TXT_000316,Platform Ceiling,Plafond de Plateforme
PROPCTRL_TXT_000317,Light Plank Ceiling,Plafond en planches claires
PROPCTRL_TXT_000318,Light Brick Ceiling,Plafond en briques claires
PROPCTRL_TXT_000319,Scrap Wood Ceiling,Plafond en bois de récupération
PROPCTRL_TXT_000320,Pale Wood Ceiling,Plafond en bois pâle
PROPCTRL_TXT_000321,Mossy Brick Ceiling,Plafond en briques moussues
PROPCTRL_TXT_000322,Shipwreck Ceiling,Plafond d'épave
PROPCTRL_TXT_000323,Construction Ceiling,Plafond de construction
PROPCTRL_TXT_000324,Mars Ceiling,Plafond martien
PROPCTRL_TXT_000325,Forsaken Brick Ceiling,Plafond en briques oublié
PROPCTRL_TXT_000326,Ominous Ceiling,Plafond inquiétant
PROPCTRL_TXT_000327,Golden Ceiling,Plafond doré
PROPCTRL_TXT_000328,Bordered Secret Ceiling,Plafond secret avec bordure
PROPCTRL_TXT_000329,Plain Secret Ceiling,Plafond secret simple
PROPCTRL_TXT_000330,Darkon Wooden Plain Ceiling,Plafond simple en bois de Darkon
PROPCTRL_TXT_000331,Darkon Wooden Mosaic Ceiling,Plafond en mosaïque de bois de Darkon
PROPCTRL_TXT_000332,Forsaken Blue Ceiling,Plafond bleu oublié
PROPCTRL_TXT_000333,Plain Forsaken Blue Ceiling,Plafond bleu oublié simple
PROPCTRL_TXT_000334,Wilds Ceiling,Plafond sauvage
PROPCTRL_TXT_000335,Pebble Ceiling,Plafond de galets
PROPCTRL_TXT_000336,Fortress Ceiling,Plafond de forteresse
PROPCTRL_TXT_000337,Cracked Ceiling,Plafond fissuré
PROPCTRL_TXT_000338,Volcanic Ceiling,Plafond volcanique
PROPCTRL_TXT_000339,Modern Ceiling,Plafond moderne
PROPCTRL_TXT_000340,Pipe Ceiling,Plafond avec tuyaux
PROPCTRL_TXT_000341,Darkon Metal Mosaic Ceiling,Plafond en mosaïque métallique de Darkon
PROPCTRL_TXT_000342,Darkon Metal Grid Lattice Ceiling,Plafond en grille métallique de Darkon
PROPCTRL_TXT_000343,Darkon Metal Plain Ceiling,Plafond simple en métal de Darkon
PROPCTRL_TXT_000344,Forged Ceiling,Plafond forgé
PROPCTRL_TXT_000345,Industrial Ceiling,Plafond industriel
PROPCTRL_TXT_000346,Colosseum Ceiling,Plafond du colisée
PROPCTRL_TXT_000347,Dungeon Ceiling,Plafond de donjon
PROPCTRL_TXT_000348,Bright Wooden Ceiling,Plafond en bois clair
PROPCTRL_TXT_000349,Honey Wooden Ceiling,Plafond en bois couleur miel
PROPCTRL_TXT_000350,Ancient Ceiling,Plafond ancien
PROPCTRL_TXT_000351,Pier Ceiling,Plafond de jetée
PROPCTRL_TXT_000352,Dark Stacked Wooden Ceiling,Plafond en bois empilé sombre
PROPCTRL_TXT_000353,Light Stacked Wooden Ceiling,Plafond en bois empilé clair
PROPCTRL_TXT_000354,Dark Plank Ceiling,Plafond en planches sombres
PROPCTRL_TXT_000355,Cracked Marble Ceiling,Plafond en marbre fissuré
PROPCTRL_TXT_000356,Battle Ceiling,Plafond de bataille
PROPCTRL_TXT_000357,Branch Ceiling,Plafond de branches
PROPCTRL_TXT_000358,Tree Ceiling,Plafond d'arbre
PROPCTRL_TXT_000359,Royal Carpet Ceiling,Plafond en tapis royal
PROPCTRL_TXT_000360,Rhisis Ceiling,Plafond de Rhisis
PROPCTRL_TXT_000361,Dirt Ceiling,Plafond de terre
PROPCTRL_TXT_000362,Flarine Ceiling,Plafond de Flarine
PROPCTRL_TXT_000363,Gravel Ceiling,Plafond de gravier
PROPCTRL_TXT_000364,Bordered Plank Ceiling,Plafond en planches avec bordure
PROPCTRL_TXT_000365,Common Green Tree 2,Arbre vert commun 2
PROPCTRL_TXT_000366,Common Green Tree 3,Arbre vert commun 3
PROPCTRL_TXT_000367,Common Green Tree 4,Arbre vert commun 4
PROPCTRL_TXT_000368,Common Green Tree 5,Arbre vert commun 5
PROPCTRL_TXT_000369,Common Green Tree 6,Arbre vert commun 6
PROPCTRL_TXT_000370,Common Green Tree 7,Arbre vert commun 7
PROPCTRL_TXT_000371,Common Green Tree 8,Arbre vert commun 8
PROPCTRL_TXT_000372,Common Green Tree 9,Arbre vert commun 9
PROPCTRL_TXT_000373,Common Green Tree 10,Arbre vert commun 10
PROPCTRL_TXT_000374,Common Green Tree 11,Arbre vert commun 11
PROPCTRL_TXT_000375,Common Green Tree 12,Arbre vert commun 12
PROPCTRL_TXT_000376,Common Green Tree 13,Arbre vert commun 13
PROPCTRL_TXT_000377,Common Green Tree 14,Arbre vert commun 14
PROPCTRL_TXT_000378,Common Sakura Tree 2,Cerisier Sakura Commun 2
PROPCTRL_TXT_000379,Common Wooden Box 2,Boîte en Bois Commune 2
PROPCTRL_TXT_000380,Common Wooden Box Pile 2,Pile de Boîtes en Bois Communes 2
PROPCTRL_TXT_000381,Common Wooden Box Pile 3,Pile de Boîtes en Bois Communes 3
PROPCTRL_TXT_000382,Common Wooden Box Pile 4,Pile de Boîtes en Bois Communes 4
PROPCTRL_TXT_000383,Common Wooden Barrel 2,Tonneau en Bois Commun 2
PROPCTRL_TXT_000384,Common Wooden Barrel 3,Tonneau en Bois Commun 3
PROPCTRL_TXT_000385,Common Wooden Barrel 4,Tonneau en Bois Commun 4
PROPCTRL_TXT_000386,Common Wooden Barrel Pile 2,Piles de Tonneaux en Bois Communs 2
PROPCTRL_TXT_000387,Common Wooden Barrel Pile 3,Piles de Tonneaux en Bois Communs 3
PROPCTRL_TXT_000388,Common Wooden Barrel Pile 4,Piles de Tonneaux en Bois Communs 4
PROPCTRL_TXT_000389,Common Wooden Barrel Pile 5,Piles de Tonneaux en Bois Communs 5
PROPCTRL_TXT_000390,Common Wooden Barrel Pile 6,Piles de Tonneaux en Bois Communs 6
PROPCTRL_TXT_000391,Common Wooden Barrel Pile 7,Piles de Tonneaux en Bois Communs 7
PROPCTRL_TXT_000392,Common Wooden Barrel Pile 8,Piles de Tonneaux en Bois Communs 8
PROPCTRL_TXT_000393,Common Wooden Barrel Pile 9,Piles de Tonneaux en Bois Communs 9
PROPCTRL_TXT_000394,Common Wooden Barrel Pile 10,Piles de Tonneaux en Bois Communs 10
PROPCTRL_TXT_000395,Common Flowers 2,Fleurs communes 2
PROPCTRL_TXT_000396,Common Flowers 3,Fleurs communes 3
PROPCTRL_TXT_000397,Common Flowers 4,Fleurs communes 4
PROPCTRL_TXT_000398,Common Flowers 5,Fleurs communes 5
PROPCTRL_TXT_000399,Common Flowers 6,Fleurs communes 6
PROPCTRL_TXT_000400,Common Flowers 7,Fleurs communes 7
PROPCTRL_TXT_000401,Common Flowers 8,Fleurs communes 8
PROPCTRL_TXT_000402,Common Grass 2,Herbe commune 2
PROPCTRL_TXT_000403,Common Grass 3,Herbe commune 3
PROPCTRL_TXT_000404,Common Grass 4,Herbe commune 4
PROPCTRL_TXT_000405,Common Grass 5,Herbe commune 5
