Key,English,Finnish
UI_CHARINFO_BASE,Base,Base
UI_CHARINFO_NAME,Name,Name
UI_CHARINFO_LOGIN,Login,Login
UI_CHARINFO_JOB,Job,Job
UI_CHARINFO_LEVEL,Level,Level
UI_CHARINFO_SERVER,Server,Server
UI_CHARINFO_CHANNEL,Channel,Channel
UI_CHARINFO_DETAIL,Detail,Detail
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,Stat Points
UI_CHARINFO_APPLY,Apply,Apply
UI_CHARINFO_RESET,Reset,Reset
UI_CHARINFO_CHANGESTATE,Change State,Change State
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Current Stat Page: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Changing Stat Page,Changing Stat Page
UI_CHARINFO_APPLY_TOOLTIP,Apply new Stats.,Apply new Stats.
UI_CHARINFO_RESET_TOOLTIP,Return to Previous Stats.,Return to Previous Stats.
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Swap stat pages.,Swap stat pages.
UI_CHARINFO_PLUSMINUS_TOOLTIP,Select Apply after you change your Stat points.,Select Apply after you change your Stat points.
UI_CHARINFO_STR_TOOLTIP,Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc),Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc)
UI_CHARINFO_STA_TOOLTIP,"Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased","Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased"
UI_CHARINFO_DEX_TOOLTIP,"Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc","Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc"
UI_CHARINFO_INT_TOOLTIP,Amount of Max. MP is increased.\nMagic Attack Power,Amount of Max. MP is increased.\nMagic Attack Power
UI_CHARINFO_GP_TOOLTIP,Select Apply after you change your Stat points.,Select Apply after you change your Stat points.
UI_CHARINFO_PVP_DUELFAME,Duel Fame,Duel Fame
UI_CHARINFO_PVP_DUELPOINT,Duel Point,Duel Point
UI_CHARINFO_PVP_KILLPOINT,Killing Point,Killing Point
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,Karma Level
UI_CHARINFO_PVP_KARMAPOINT,Karma Point,Karma Point
UI_CHARINFO_PVPPK,PVP/PK,PVP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,Sex: Male
UI_TOOLTIP_SEX_FEMALE,Sex: Female,Sex: Female
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,Time Reduction Level
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,Yield Bonus Level
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,Carrier Chance Bonus Level
UI_TOOLTIP_ONEHAND,One-handed weapon.,One-handed weapon.
UI_TOOLTIP_TWOHAND,Two-handed weapon.,Two-handed weapon.
UI_TOOLTIP_ATTACK_BASE,Base Attack:,Base Attack:
UI_TOOLTIP_DEF_BASE,Base Defense:,Base Defense:
UI_TOOLTIP_ATTACK,Attack:,Attack:
UI_TOOLTIP_DEF_A,Defense:,Defense:
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s,Attack speed: %s
UI_TOOLTIP_REQ_JOB,Req Job:,Req Job:
UI_TOOLTIP_REQ_LEVEL,Required Level: %d,Required Level: %d
UI_TOOLTIP_REQ,Requires %s,Requires %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d,Restore MP: %d
UI_TOOLTIP_CONSUME_MP,MP: %d,MP: %d
UI_TOOLTIP_CONSUME_FP,FP: %d,FP: %d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d,Restore HP: %d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d,Restore FP: %d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d,Effective up to %d
UI_TOOLTIP_INV_SUIT,Suit,Suit
UI_TOOLTIP_INV_GAUNTLET,Gauntlet,Gauntlet
UI_TOOLTIP_INV_BOOTS,Boots,Boots
UI_TOOLTIP_INV_HELMET,Helmet,Helmet
UI_TOOLTIP_INV_CLO,Cloak,Cloak
UI_TOOLTIP_INV_WEAPON,Weapon,Ase
UI_TOOLTIP_INV_GUARD,Shield,Shield
UI_TOOLTIP_INV_MASK,Mask,Mask
UI_TOOLTIP_INV_RID,Flying Item,Flying Item
UI_TOOLTIP_INV_NECKLACE,Necklace,Necklace
UI_TOOLTIP_INV_RING,Ring,Ring
UI_TOOLTIP_INV_EARRING,Earring,Earring
UI_TOOLTIP_INV_BULLET,"Sub Weapon (Arrows, Posters)","Sub Weapon (Arrows, Posters)"
UI_TOOLTIP_INV_CLOTHES_1,Fashion hat,Fashion hat
UI_TOOLTIP_INV_CLOTHES_2,Fashion costume,Fashion costume
UI_TOOLTIP_INV_CLOTHES_3,Fashion gloves,Fashion gloves
UI_TOOLTIP_INV_CLOTHES_4,Fashion shoes,Fashion shoes
UI_TOOLTIP_MON_LVL,Lv.,Lv.
UI_TOOLTIP_MON_DROP,Booty:,Booty:
UI_TOOLTIP_MON_NO_DROP,None,None
UI_MAP_MONINFO,Show monsters informations.,Show monsters informations.
UI_TOOLTIP_DELETE_ITEM,The item dragged here is removed.,The item dragged here is removed.
UI_INVENTORY_DELETE,Drop confirmation,Drop confirmation
UI_INVENTORY_DELETE_CONFIRM,Really delete this item?,Really delete this item?
UI_INVENTORY_DELETE_CNT,Qty,Qty
UI_DIALOG,Dialog,Dialogi
UI_DIALOG_TITLE,Conversation,Conversation
UI_DIALOG_ABOUT,Ask about %s,Ask about %s
UI_OPTION_TAB_GAME,Game,Game
UI_OPTION_TAB_CONTROLS,Controls,Controls
UI_OPTION_TAB_VIDEO,Graphics,Graphics
UI_OPTION_TAB_GRAPHICS,Video,Video
UI_OPTION_TAB_AUDIO,Audio,Audio
UI_OPTION_PM,Whispers and Messages,Whispers and Messages
UI_OPTION_PARTY,Party and guild invites,Party and guild invites
UI_OPTION_FRIEND,Friend Invites,Friend Invites
UI_OPTION_SIEGE_CAPTION,Guild Siege Captions,Guild Siege Captions
UI_OPTION_DISABLE_PANG,Disable Tutorial Pang,Disable Tutorial Pang
UI_OPTION_COUPLE,Couple Proposals,Couple Proposals
UI_INSTANTMSG_TITLE,Message,Viesti
UI_MESSAGE_SEND,Send,Send
UI_SHOP_TITLE,Shop,Shop
UI_SHOP_ITEMSLIST,Item List,Item List
UI_TOOLTIP_PRICE,Price: %s,Price: %s
UI_TOOLTIP_SELLPRICE,Selling Price: %s,Selling Price: %s
UI_SHOP_FILTER,Search,Search
UI_SHOP_LEVEL,By Level,By Level
UI_SHOP_GENDER,By Gender,By Gender
UI_SHOP_ITEMPRICE,Item Price,Item Price
UI_SELLITEM_TITLE,Selling Confirm,Selling Confirm
UI_SELLITEM_CONFIRM,Really sell this item?,Really sell this item?
UI_SELLITEM_QTY,Quantity,Quantity
UI_SELLITEM_PRICE,Selling Price:,Selling Price:
UI_MSGBOX_VALID,Ok,Ok
UI_BUYITEM_TITLE,Confirm Item Purchase,Confirm Item Purchase
UI_BUYITEM_CONFIRM,Do you want to buy?,Do you want to buy?
UI_BUYITEM_PRICE,Cost,Cost
UI_OPTION_GRASS,Grass,Grass
UI_TOOLTIP_MAX_HP,Max. HP,Max. HP
UI_TOOLTIP_MAX_MP,Max. MP,Max. MP
UI_TOOLTIP_MAX_FP,Max. FP,Max. FP
UI_TOOLTIP_SPEED,Speed,Speed
UI_TOOLTIP_ATKSPEED,Attack Speed,Attack Speed
UI_TOOLTIP_BLOCKMELEE,Melee Block,Melee Block
UI_TOOLTIP_HITRATE,Hit Rate,Hit Rate
UI_TOOLTIP_ABILITYMIN,Min. Ability,Min. Ability
UI_TOOLTIP_ABILITYMAX,Max. Ability,Max. Ability
UI_TOOLTIP_DEFENSE,Defense,Defense
UI_TOOLTIP_DEFMAGIC,Magic Defense,Magic Defense
UI_TOOLTIP_DEFELECTRICITY,Electricity Resistance,Electricity Resistance
UI_TOOLTIP_DEFALLELEMENTAL,All Elements Resistance,All Elements Resistance
UI_TOOLTIP_DEFFIRE,Fire Resistance,Fire Resistance
UI_TOOLTIP_DEFWIND,Wind Resistance,Wind Resistance
UI_TOOLTIP_DEFWATER,Water Resistance,Water Resistance
UI_TOOLTIP_DEFEARTH,Earth Resistance,Earth Resistance
UI_CHARINFO_ELEMENTDEF,Resistance,Resistance
UI_CHARINFO_ELEMENTMASTRY,Mastery,Mastery
UI_TOOLTIP_HP,HP,HP
UI_TOOLTIP_MP,MP,MP
UI_TOOLTIP_FP,FP,FP
UI_TOOLTIP_HPRECOVERY,HP Recovery,HP Recovery
UI_TOOLTIP_MPRECOVERY,MP Recovery,MP Recovery
UI_TOOLTIP_FPRECOVERY,FP Recovery,FP Recovery
UI_TOOLTIP_ALL_RECOVERY,"HP, MP & FP Recovery","HP, MP & FP Recovery"
UI_TOOLTIP_ALL_RECOVERY_RATE,"HP, MP & FP Recovery Rate","HP, MP & FP Recovery Rate"
UI_TOOLTIP_KILL_HP,HP Recovery on kill,HP Recovery on kill
UI_TOOLTIP_KILL_MP,MP Recovery on kill,MP Recovery on kill
UI_TOOLTIP_KILL_FP,FP Recovery on kill,FP Recovery on kill
UI_TOOLTIP_KILL_ALL,"HP, MP & FP Recovery on kill","HP, MP & FP Recovery on kill"
UI_TOOLTIP_KILL_HP_RATE,HP Recovery Rate on kill,HP Recovery Rate on kill
UI_TOOLTIP_KILL_MP_RATE,MP Recovery Rate on kill,MP Recovery Rate on kill
UI_TOOLTIP_KILL_FP_RATE,FP Recovery Rate on kill,FP Recovery Rate on kill
UI_TOOLTIP_KILL_ALL_RATE,"HP, MP & FP Recovery Rate on kill","HP, MP & FP Recovery Rate on kill"
UI_TOOLTIP_ALL_DEC_RATE,Decreased Rate of MP & FP Consumption,Decreased Rate of MP & FP Consumption
UI_TOOLTIP_CHRDMG,Additional Damage,Additional Damage
UI_TOOLTIP_PARRY,Parry,Parry
UI_TOOLTIP_ATKPOWER,Increased Attack,Increased Attack
UI_TOOLTIP_JUMPING,Jump Height,Jump Height
UI_TOOLTIP_BLOCKRANGE,Ranged Block,Ranged Block
UI_TOOLTIP_ALLSTAT,All Stats,All Stats
UI_TOOLTIP_DST_HP_MAX_RATE,Increased HP,Increased HP
UI_TOOLTIP_CONDITIONRATE,Magical Power,Magical Power
UI_TOOLTIP_DST_ADJDEF_RATE,Increased Defense,Increased Defense
UI_TOOLTIP_DST_MP_MAX_RATE,Increased MP,Increased MP
UI_TOOLTIP_DST_FP_RATE,Increased FP,Increased FP
UI_TOOLTIP_DST_CRITICAL_RATE,Critical Chance,Critical Chance
UI_TOOLTIP_DST_CHR_WEAKATKCHANGE,Attribute Attack,Attribute Attack
UI_TOOLTIP_DST_MASTRY_EARTH,Mastery: Earth,Mastery: Earth
UI_TOOLTIP_DST_MASTRY_FIRE,Mastery: Fire,Mastery: Fire
UI_TOOLTIP_DST_MASTRY_WATER,Mastery: Water,Mastery: Water
UI_TOOLTIP_DST_MASTRY_ELECTRICITY,Mastery: Electricity,Mastery: Electricity
UI_TOOLTIP_DST_MASTRY_WIND,Mastery: Wind,Mastery: Wind
UI_TOOLTIP_DST_MASTRY_ALL,All Elements Mastery,All Elements Mastery
UI_TOOLTIP_DST_REFLECT_DAMAGE,Reflect Damage,Reflect Damage
UI_TOOLTIP_DST_MP_DEC_RATE,MP Consumption Decrease,MP Consumption Decrease
UI_TOOLTIP_DST_FP_DEC_RATE,FP Consumption Decrease,FP Consumption Decrease
UI_TOOLTIP_DST_SPELL_RATE,Casting Speed,Casting Speed
UI_TOOLTIP_DST_ACTION_SPEED,Action Speed,Action Speed
UI_TOOLTIP_DST_PROJ_SPEED,Projectile Speed,Projectile Speed
UI_TOOLTIP_DST_DISABLE_EFF,Disable Effect,Disable Effect
UI_TOOLTIP_DST_WEAKEN_EFF,Weaken Effect,Weaken Effect
UI_TOOLTIP_DST_CRITICAL_BONUS,Critical Damage,Critical Damage
UI_TOOLTIP_DST_YOY_DMG,Attack Power (Yo-Yo),Attack Power (Yo-Yo)
UI_TOOLTIP_DST_BOW_DMG,Attack Power (Bow),Attack Power (Bow)
UI_TOOLTIP_DST_KNUCKLE_DMG,Attack Power (Knuckle),Attack Power (Knuckle)
UI_TOOLTIP_DST_SWD_DMG,Attack Power (Sword),Attack Power (Sword)
UI_TOOLTIP_DST_AXE_DMG,Attack Power (Axe),Attack Power (Axe)
UI_TOOLTIP_ATTACKSPEED_RATE,Attack Speed Rate,Attack Speed Rate
UI_TOOLTIP_DST_DMG_GET,Lifesteal,Lifesteal
UI_TOOLTIP_DST_HPDMG_UP,Attack power and HP,Attack power and HP
UI_TOOLTIP_DST_DEFHIRATE_DOWN,Defense power and accuracy decrease,Defense power and accuracy decrease
UI_TOOLTIP_DST_DEATHRUSH,Death's Rush Chance,Death's Rush Chance
UI_TOOLTIP_DST_ANKOUHARVEST,Ankou's Harvest,Ankou's Harvest
UI_TOOLTIP_DST_MURANWRATH,Muran's Wrath,Muran's Wrath
UI_TOOLTIP_LOCOMOTION,Movement,Liike
UI_TOOLTIP_RETURN_USE,Return to your former position.,Return to your former position.
UI_DISPLAY_BUFFS,Show/hide buffs,Show/hide buffs
UI_SELECTJOB_TITLE,Select new job,Select new job
UI_NOTICE_DISCORD,Join our Discord server,Join our Discord server
UI_TOOLTIP_COMBO,Use skills in the Action Slot,Use skills in the Action Slot
UI_OPTION_ANTIALIAS,Antialiasing,Antialiasing
UI_OPTION_LIGHTS,Lights,Lights
UI_TOOLTIP_HOTKEY,[Hotkey %s],[Hotkey %s]
UI_STATUS_HP,HP,HP
UI_STATUS_FP,FP,FP
UI_STATUS_MP,MP,MP
UI_STATUS_EXP,Exp,Exp
UI_HELPTIPS_TITLE,Todays Tips,Todays Tips
UI_HELPTIPS_DOYOUKNOW,Do you know?,Do you know?
UI_HELPFAQ_QUESTION,Q.,Q.
UI_HIDE,Hide,Hide
UI_PARTY_INFO,Members,Members
UI_PARTY_SKILL,Skills,Taidot
UI_PARTY_SETTINGS,Settings,Settings
UI_PARTY_NAME,Name:,Name:
UI_PARTY_LEVEL,Level:,Level:
UI_PARTY_POINT,Points:,Points:
UI_PARTY_EXPSHARE,Exp Share,Exp Share
UI_PARTY_EXPMODE_LEVEL,Level,Level
UI_PARTY_EXPMODE_LEVEL_TIP,Exp is distributed to the Party members according to their levels.,Exp is distributed to the Party members according to their levels.
UI_PARTY_EXPMODE_CONTRIB,Contribution,Contribution
UI_PARTY_EXPMODE_CONTRIB_TIP,"Exp is distributed to the Party members according to their contribution to the combat. Contribution includes attacking, healing and tanking.","Exp is distributed to the Party members according to their contribution to the combat. Contribution includes attacking, healing and tanking."
UI_PARTY_LOOT,Distribute Item,Distribute Item
UI_PARTY_LOOTMODE_IND,Individually,Individually
UI_PARTY_LOOTMODE_IND_TIP,This is a Free-For-All Loot type. Players are able to keep whatever they can pick up.,This is a Free-For-All Loot type. Players are able to keep whatever they can pick up.
UI_PARTY_LOOTMODE_SEQ,Sequentially,Sequentially
UI_PARTY_LOOTMODE_SEQ_TIP,Items are distributed to the characters in order.,Items are distributed to the characters in order.
UI_PARTY_LOOTMODE_MAN,Manually,Manually
UI_PARTY_LOOTMODE_MAN_TIP,All items are given to the Party Leader. The Party Leader will them be able to distribute the items as they see fit.,All items are given to the Party Leader. The Party Leader will them be able to distribute the items as they see fit.
UI_PARTY_LOOTMODE_RAND,Randomly,Randomly
UI_PARTY_LOOTMODE_RAND_TIP,Items are distributed randomly.,Items are distributed randomly.
UI_PARTY_LOOTMODE_KILL,Killer,Killer
UI_PARTY_LOOTMODE_KILL_TIP,Items are distributed to the player who damaged the most the monster.,Items are distributed to the player who damaged the most the monster.
UI_PARTY_SEARCHMODE,Search Mode,Search Mode
UI_PARTY_TRANSFER,Transfer,Transfer
UI_PARTY_LEAVE,Leave,Leave
UI_PARTY_KICK,Kick,Kick
UI_PARTY_CHANGE,Change,Change
UI_PARTY_CONFIRM,Confirm Party,Confirm Party
UI_PARTY_INVITEQUESTION,%s invites you to join the party. Do you accept?,%s invites you to join the party. Do you accept?
UI_PARTY_LEAVE_TIP,"This option will allow members to leave the party or give the Party Leader the ability to remove a member. In order to remove a player, you will first need to select them, and then press the Leave Button.","This option will allow members to leave the party or give the Party Leader the ability to remove a member. In order to remove a player, you will first need to select them, and then press the Leave Button."
UI_PARTY_TRANSFER_TIP,Transfer the party to another player. Select a new leader and the press the transfer button.,Transfer the party to another player. Select a new leader and the press the transfer button.
UI_PARTY_CONFIRM_TIP,Change the Party to Advanced Party.,Change the Party to Advanced Party.
UI_PARTY_LEAVE_CONFIRM,Confirm leaving party.,Confirm leaving party.
UI_PARTY_LEAVE_QUESTION,Are you going to leave the party?,Are you going to leave the party?
UI_PARTY_LEAVE_OTHER,Are you sure you want to remove this player from the party?,Are you sure you want to remove this player from the party?
UI_PARTY_QUICK_TIP,Please click the button to display basic party information.,Please click the button to display basic party information.
UI_PARTY_DETAIL_TIP,Please click the button for detailed party information.,Please click the button for detailed party information.
UI_PARTY_CHANGETROUP,Do you want change to Advanced party?,Do you want change to Advanced party?
UI_PARTY_CHANGEPARTY,Change Party,Change Party
UI_PARTYNAME_ENTER,Enter Party Name,Enter Party Name
UI_PARTYNAME_TITLE,Change Party Name,Change Party Name
UI_FRIEND_CONFIRM,Add Friend Confirmation,Add Friend Confirmation
UI_FRIEND_INVITEQUESTION,%s wants to be your friend. Do you accept?,%s wants to be your friend. Do you accept?
UI_MESSENGER_ONLINE,Online,Online
UI_MESSENGER_OFFLINE,Offline,Offline
UI_MESSENGER_ABSENT,AFK,AFK
UI_MESSENGER_HARDPLAY,Addict Mode,Addict Mode
UI_MESSENGER_REST,Resting / Vending,Resting / Vending
UI_MESSENGER_EAT,Eating,Eating
UI_MESSENGER_MOVE,Moving,Moving
UI_MESSENGER_FRIEND,Friend,Friend
UI_MESSENGER_SORT_CHANNEL,Ch.,Ch.
UI_MESSENGER_SORT_STATE,State,State
UI_MESSENGER_SORT_LEVEL,Level,Level
UI_MESSENGER_SORT_NAME,Name,Name
UI_MESSENGER_SORT_JOB,Job,Job
UI_INSTANTMSG_JOIN,has logged into the game.,has logged into the game.
UI_OPTION_JOIN_NOTIFICATION,Message alarm,Message alarm
UI_MESSENGER_MENU_MESSAGE,Message,Viesti
UI_MESSENGER_MENU_UNBLOCK,Unblock,Unblock
UI_MESSENGER_MENU_BLOCK,Block,Block
UI_MESSENGER_MENU_DELETE,Delete,Delete
UI_MESSENGER_MENU_MOVE,Move,Move
UI_MESSENGER_MENU_TAGSEND,Send a memo,Send a memo
UI_MESSENGER_ADD_FRIEND,Add a new friend,Add a new friend
UI_ADDFRIEND_TITLE,Add friend,Add friend
UI_ADDFRIEND_NAME,Enter Player Name,Enter Player Name
UI_READMEMO_TITLE,Message Window,Message Window
UI_SENDMEMO_TITLE,Message Sending Window,Message Sending Window
UI_POST_TITLE,Post,Post
UI_POST_TAB_SEND,Send Mail,Send Mail
UI_POST_TAB_RECEIVE,Inbox,Inbox
UI_OPTION_UISCALE,Scale,Scale
UI_OPTION_TEXTSCALE,Font Size,Font Size
UI_IGNORELIST_TITLE,Ignore List,Ignore List
UI_IGNORELIST_COUNT,Ignored list: %d,Ignored list: %d
UI_CHATFILTER_TITLE,Chatting Filter,Chatting Filter
UI_CHATFILTER_GENERAL,General,General
UI_CHATFILTER_WHISPER,Whisper,Whisper
UI_CHATFILTER_SHOUT,Shout,Shout
UI_CHATFILTER_PARTY,Party,Party
UI_CHATFILTER_GUILD,Guild,Kilta
UI_CHATFILTER_RESET_COLORS,Reset Defaults,Reset Defaults
UI_POSTSEND_TO,Receiver,Receiver
UI_POSTSEND_TITLE,Title,Title
UI_POSTSEND_GOLD,Penya,Penya
UI_POSTSEND_PRICE,Rental Fee: %d Penya,Rental Fee: %d Penya
UI_POSTSEND_SEND,Send,Send
UI_ITEMSLOT_TITLE,Item confirmation,Item confirmation
UI_ITEMSLOT_QUESTION,How many items?,How many items?
UI_ITEMSLOT_COUNT,Count:,Count:
UI_POSTSEND_CONFIRM,Are you sure you want to send?\nMail expires after %d days,Are you sure you want to send?\nMail expires after %d days
UI_POST_NO_MAIL,You don't have any mail,You don't have any mail
UI_POST_UNKNOWN,Unknown,Unknown
UI_POST_RECEIVE_DATE,Date Received: %s,Date Received: %s
UI_POSTREAD_TITLE,Check Post Box,Check Post Box
UI_POSTREAD_FROM,Sender,Sender
UI_POSTREAD_DELETE,Delete,Delete
UI_POSTREAD_DELETE_ALL,Delete all read mails,Delete all read mails
UI_POSTREAD_DELETEALL_CONFIRM,Delete selected mails? Items and penya will be deleted as well.,Delete selected mails? Items and penya will be deleted as well.
UI_POSTREAD_REPLY,Reply,Reply
UI_POSTREAD_DELETETITLE,Delete Mail,Delete Mail
UI_POSTREAD_DELETECONFIRM,Delete this mail? Items and penya will be deleted as well.,Delete this mail? Items and penya will be deleted as well.
UI_POSTREAD_MAILEXPIRED,Mail Expired,Mail Expired
UI_POSTREAD_KEEP_PAY,This mail expired %d days ago. You must pay %s penya to recover it.,This mail expired %d days ago. You must pay %s penya to recover it.
UI_QUEST_CANCEL,Remove quest,Remove quest
UI_QUEST_CANCEL_TIP,Cancel Quest in Progress,Cancel Quest in Progress
UI_QUEST_ALLQUESTS,All Quests,All Quests
UI_QUEST_INPROGRESS,In Progress,In Progress
UI_QUEST_COMPLETED,Completed,Completed
UI_QUEST_LIST,Quest List,Quest List
UI_QUEST_DETAIL,Quest Details,Quest Details
UI_QUEST_REWARDS,Reward List,Reward List
UI_QUEST_CONDITIONS,Quest Condition,Quest Condition
UI_QUEST_GOLD1,Penya: %d,Penya: %d
UI_QUEST_GOLD2,Penya: %d~%d,Penya: %d~%d
UI_QUEST_GOLD3,Penya: ????,Penya: ????
UI_QUEST_EXP1,Experience Gained.,Experience Gained.
UI_QUEST_EXP2,Experience: %.2f%%,Experience: %.2f%%
UI_QUEST_EXP_COUPLE,Couple Experience: %.2f%%,Couple Experience: %.2f%%
UI_QUEST_SKILLPOINT,Skill points,Skill points
UI_QUEST_INVENTORYSLOT1,Inventory Space,Inventory Space
UI_QUEST_INVENTORYSLOT2,Inventory Space: %d,Inventory Space: %d
UI_QUEST_MODIFY_KARMA1,Collected Karma Point: %d,Collected Karma Point: %d
UI_QUEST_MODIFY_KARMA2,Collected Karma Point: ????,Collected Karma Point: ????
UI_QUEST_ADD_KARMA1,Added Karma Point: %d,Added Karma Point: %d
UI_QUEST_ADD_KARMA2,Added Karma Point: ????,Added Karma Point: ????
UI_QUEST_ITEM1,Item: %s(%d),Item: %s(%d)
UI_QUEST_ITEM2,Item: ????,Item: ????
UI_QUEST_COND_COMPLETED,Quest completed.,Quest completed.
UI_QUEST_LIMIT_TIME,Time Left: #b%d minutes#nb,Time Left: #b%d minutes#nb
UI_QUEST_LIMIT_TIMEOUT,#bYou exceeded the time limit#nb,#bYou exceeded the time limit#nb
UI_QUEST_KILL_NPC,Defeat %s #cffc32f07#b%d/%d#nb#nc,Defeat %s #cffc32f07#b%d/%d#nb#nc
UI_QUEST_ITEM,%s #cffc32f07#b%d/%d#nb#nc,%s #cffc32f07#b%d/%d#nb#nc
UI_QUEST_PATROL,%s Search,%s Search
UI_QUEST_COMPLETE_TEXT,[Complete],[Complete]
UI_QUEST_NODISGUISE,Transformed into a human,Transformed into a human
UI_QUEST_DISGUISE,Transformed into %s,Transformed into %s
UI_QUEST_SKILLLVL,%s Skill Level #b(%d/%d)#nb,%s Skill Level #b(%d/%d)#nb
