Key,English,Japanese
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.",遠距離攻撃はヨーヨーと弓で行われます。遠距離攻撃で敵と交戦するには、適切な武器を装備し、敵をターゲットにしてから、ターゲットを右クリックします。弓は矢を使用する必要があることに注意してください。
CLIENT_HELP_INC_000036,Magic Attack,魔法パターン攻撃
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,魔法パターン攻撃とはワンドのような魔法道具を使用した攻撃で、マウスの左ボタンを押し続けることで力を溜め、ボタンを離すと発動して攻撃することができます。ダメージは相手の魔法抵抗に影響されます。
CLIENT_HELP_INC_000038,Equipping items,装備
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.",武器、防具、アクセサリーような装備可能なアイテムは、そのアイテムをダブルクリックすることで装備欄に装備、装備中のアイテムがある場合は交換されます。また、装備しているアイテムをクリックすることで装備が解除されます。
CLIENT_HELP_INC_000040,Using Items,アイテム使用
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,アイテムは、インベントリウィンドウ内のアイテムをダブルクリックすることで使用できます。アイテムを移動させたい場合には、移動させたい場所にアイテムをドラッグしてください。アイテムをインベントリウィンドウの外にドラッグすると、アイテムを地面に落とすことができます。
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,また、アイテムはインベントリウィンドウからデスクバーのクイックスロット(画面中央下)に登録することで、短縮キーやマウスクリックで使用することができます。クイックスロットの登録を取り消すには、該当スロットで右クリックをしてください。
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,チャット
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.",キーボードのエンターキーを押すと入力欄にカーソルが表示され入力可能状態になります(マウスで入力欄を左クリックしても入力できます)。チャット欄を閉じていた場合でも同様にエンターを押すことで再表示されます。文字を入力後、キーボードのエンターキーを押すとチャットウィンドウと画面に会話の内容が表示されます。ささやき、叫ぶ、パーティー、ギルドのボタンで各チャットが自動でフィルター表示されます。また、受信したチャットをフィルタリングするオプションや、システムメッセージを表示するオプションもあります。
CLIENT_HELP_INC_000046,NPC Trading,ＮＰＣ取引
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.",NPCと取引をするためには、NPCをマウスの左ボタンでクリックし、取引を選択します。
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,購入したいアイテムをドラッグしてインベントリに入れてください。この際、取引ウィンドウの下に価格が表示され、購入可能か確認できます。
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.",アイテムをNPC商人に売却したい場合は、インベントリ内のアイテムをドラッグして取引ウィンドウの上に置くと、ウィンドウの下に売却金額が表示されます。
CLIENT_HELP_INC_000050,Player Trading,プレイヤー間トレード
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.",ユーザー同士の取引を意味します。取引をしたいキャラクターをキーボードのAltキーを押ながら左クリックするとメニューが表示され、取引を選択するとトレードウィンドウが開きます。
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.",その後、取引したいアイテムまたはペニャ(お金)をトレードウィンドウにドラッグします。アイテムやペニャを確認し、お互いがＯＫを押すとトレードが完了します。
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,一度取引ウィンドウにドラッグしたアイテムやペニャは元に戻せません。やり直したい場合は、取引を一旦キャンセルしてから、再度取引をしてください。
CLIENT_HELP_INC_000054,Quests,クエスト
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.",クエストでは各種任務を通して、経験値やペニャを獲得できます。クエストはＮＰＣの会話によって受けることが可能で、レベル、職業、状況により、様々なクエストがあります。
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,多くのクエストをクリアすると、レアアイテムや経験値ボーナスが手に入ります。たくさんのNPCに話しかけてみてください。
CLIENT_HELP_INC_000057,Interface,インターフェース
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,Flyff Universeで使用される各種ウィンドウについて説明します。
CLIENT_HELP_INC_000059,Status Menu,状態ウィンドウ
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.",このウィンドウはTキーで表示、非表示できます。キャラクターのHP(生命力)、MP、FP、EXP(キャラクター経験値)、バブルタイムが表示されます。
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.",[MP(精神力)]はマジシャン、アシストの魔法系スキルを使用する際に必要な数値です。 知能のポイントを増加させることで[MP]を増やすことができます。[FP(持久力)]はマーシナリーなどの物理攻撃系のスキルを使用する際に必要な数値です。体力のポイントを増加させることで[FP]を増やすことができます。
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,EXP(キャラクター経験値)はキャラクターがレベルアップするために必要な数値です。モンスターを倒したりクエストを達成することで溜まっていきます。バブルタイムが貯まっていると、ボーナス経験値が手に入ります。これはギルドハウスを利用して貯めることができ、詳しくヘルプメニューでご確認ください。
CLIENT_HELP_INC_000063,Character Menu,キャラクターウィンドウ
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.",キャラクターに関する各種情報が確認できます。 基本タブ(見出し)では[キャラクター名]、[職業]、[レベル]、[接続しているサーバ名]、[接続しているチャンネル]などの基本情報を表示し、詳細タブではキャラクターの能力値を確認したり、GPポイントを各能力値([力][体力][敏捷性][知能])に消費してステータスをアップさせることができます。
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.",レベルが上がると、ステータスポイントが付与されます。このポイントは、各ステータスの割り当てに使用でき、基本能力を上げることができます。
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.",レベルアップをすると[GPポイント]が獲得できます。このGPポイントを消費して各能力値([力][体力][敏捷性][知能])をアップさせることができます。
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","[力]は基本的に攻撃力と、ワンド以外の武器の攻撃力に影響します。[体力]は防御力、最大HP量、最大FP量増加、また、HP,FP回復量増加に影響します。[敏捷性]は攻撃速度、回避率、ブロック率、クリティカルヒット率の増加、また、弓の攻撃力にも影響します。[知能]は最大MP量、MP回復量、魔法攻撃力また魔法防御力に影響します。"
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,名声/マスタータブでは今まで獲得した称号が確認できます。称号を1つ選択し、世界中にアピールすることができます。
CLIENT_HELP_INC_000069,Chat Menu,チャットウィンドウ
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.",ゲーム内でチャットなどを行うために使用します。[Enter]キーを押すと文字を入力することが出来ます。[一般チャット]、[ささやき]、[叫び]、[パーティーチャット]、[ギルドチャット]などが利用できます。[SYSTEM]ボタンをクリックするとシステムウィンドウが表示され、各種システムメッセージを確認することが出来ます。
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.",会話内容を何度も使用したいときはクイックスロットに登録しましょう。会話内容を入力した状態で入力ウィンドウの左側にある吹き出しアイコンをマウスでドラッグしてクイックスロットに登録してください。登録した会話内容は、アイコンをクリックするだけで簡単に発言することができます。
CLIENT_HELP_INC_000072,Navigator,ナビゲーター
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,Nキーでキャラクター周辺の状況と、キャラクターがどこにいるかミニマップに表示されます。
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.",Nボタンを押すと、このメニューが切り替わります。ナビゲーターは、右上にあるミニマップです。NPCのショップはアイコンで表示され、どんなショップか一目でわかります。クエストを受注している場合は、黄色と黒の点（ドット）が表示されます。黄色とオレンジの点（ドット）は、敵のモブを示しています。マウスで点（ドット）の上にマウスカーソルを置くと、その名前が表示されます。
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,ナビゲーターの+、－ボタンを押すことで、地図を拡大・縮小することができます。ドロップダウンのオプションを使えば、表示するものをフィルタリングできます。
CLIENT_HELP_INC_000076,Skill Menu,スキルウィンドウ
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,キャラクターの職業に応じたスキルとスキルツリーが表示されるウィンドウです。新しいスキルは条件(キャラクターのレベルと前提となるスキルのレベル)が満たされれば取得可能となります。
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.",スキルを使用するためには、画面中央下にあるクイックスロットか、画面右下にあるアクションスロットに登録する必要があります。クイックスロットに登録したスキルはファンクションキー(1～9)、アクションスロットに登録したスキルはCキーで使用することができます。
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.",スキルレベルをアップするためには、スキルポイントが必要です。スキルポイントはレベルアップする時に支給されます。スキルレベルをアップしたいスキルをクリックした後に[＋]、[－]ボタンでレベルを調整して[Finish]ボタンで決定すると、スキルポイントを消費してスキルレベルをアップすることができます。
CLIENT_HELP_INC_000080,Inventory,インベントリウィンドウ
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.",インベントリウィンドウではキャラクターの所持している各種アイテムやペニャを確認できます。武器や防具、ファッションアイテムはダブルクリックすることで装備できます。Iキーを押すと開きます。
CLIENT_HELP_INC_000082,Messenger Menu,メッセンジャー
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.",メッセンジャーウィンドウでは登録したキャラクターの接続状況を確認したり、遠く離れたキャラクターにメッセージを送ることができます。メッセンジャー登録(フレンド登録)したい場合には、相手のキャラクターを[Alt]キーを押しながら左クリックで出るメニューで、[メッセンジャー登録]を選択してください。もしくはメッセンジャーウィンドウ([E]キー)の下部にある[+]ボタンで追加することができます。ギルドメンバーは、ギルドマスターが追加をすると自動的に更新されます。
CLIENT_HELP_INC_000084,Quest Menu,クエストウィンドウ
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.",クエストダイアリーでは自分が受けたクエストの進行状況やクエストリスト、クエスト内容、報酬リスト、クエスト条件を確認できます。これまで受けたクエストを確認したい時やクエストの内容を忘れてしまった場合などに確認してみてください。
CLIENT_HELP_INC_000086,Emotes Menu,モーションウィンドウ
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,モーションウィンドウは[O]キーで開くことができます。他のプレイヤーとコミュニケーションを取る時に便利な各種モーション(動作)とふきだしアイコンが表示されます。使用したいモーションのアイコンをクリックするか、クイックスロットに登録して使うこともできます。
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,Oキーを押すことで表示されます。アイコンを左クリックして使用したり、クイックスロットにドラッグして使用することもできます。
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,パーティーメニュー
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.",パーティーメニューは複数のキャラクターで結成できるパーティーの情報を表示するウィンドウです。パーティーは[ベーシックパーティー]と[アドバンスパーティー]の2種類に分けられます。[ベーシックパーティー]ではパーティーの経験値、アイテム分配条件(リーダーのみ変更可能)やパーティーメンバーの状態などが表示されます。[アドバンスパーティー]ではパーティーレベルに応じてパーティースキルの使用が可能になります。[ベーシックパーティー]のレベルが10レベルになると[アドバンスパーティー]に変更できるようになり、パーティー名をつけることができます。
CLIENT_HELP_INC_000092,Guild Menu,ギルドウィンドウ
CLIENT_HELP_INC_000093,"A Guild is a bigger community than a party and anyone level 40 or higher can create one. You have to complete the quest from NPC Helena to make a guild. The Info tab shows general information and notices, the member tab allows you to manage guild members, the title tab shows titles and allows you to pay members, and the duel tab shows info on your guild duels.",[ギルド]では、パーティーより大規模な集団を結成することができます。キャラクターのレベルが40以上になると、セイントモーニングにあるシティホールのＮＰＣへレナからギルドを結成するためのクエストを受けられるようになり、クエストを達成するとギルドを作成することができます。ギルドウィンドウには「ギルド情報」「メンバー管理」「称号管理」「ギルド戦」項目があります。「ギルド情報」項目ではギルドの基本情報と告知事項が表示されます。「メンバー管理」項目ではギルドメンバーの確認や、メンバーを管理(ギルドマスターのみ)することができます。「称号管理」項目ではギルドメンバーに権限を与えることができ、報酬を指定することも可能です。「ギルド戦」項目はギルド同士で戦うギルド戦の申し込み、情報が確認できます。
CLIENT_HELP_INC_000094,Options Tab,ビデオ＆サウンド
CLIENT_HELP_INC_000095,This window configures the basic details and options for the Game and can be found in the Start Tab. There are many settings here and they have been separated into two Tabs: Video and Game / Audio.,画面表示とサウンドに関する設定を行うウィンドウです。自分のPCに合った設定を行ってください。
CLIENT_HELP_INC_000096,Video,オプション
CLIENT_HELP_INC_000097,This window is for video settings. If you set the options to their highest settings you may encounter some additional lag. You will also see other settings for various visual elements.,ゲーム内の基本的な設定を行うウィンドウです。ビデオ/ゲーム項目に分類されています。
CLIENT_HELP_INC_000098,Game / Audio,ゲームオプション
CLIENT_HELP_INC_000099,"From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music.",他のキャラクターからのチャットや各種要請などの許可・禁止を設定する項目です。取引、ささやき、メッセンジャーに追加、PVP申請、メッセンジャー接続通知、装備を見る、自動攻撃などをON/OFFできます。
CLIENT_HELP_INC_000100,Helper Tab,告知事項
CLIENT_HELP_INC_000101,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.,スタートメニューから「ヘルプ」タブを選択すると、さまざまなヘルプが表示されます。
CLIENT_HELP_INC_000102,Help,ヘルプ
CLIENT_HELP_INC_000103,This selection includes the Helper Tree you are currently looking at. There are numerous topics here that are described in detail to help give you a better understanding of the game.,ゲームに関する基本的な項目を説明するウィンドウです。お問い合わせいただく前にご確認ください。
CLIENT_HELP_INC_000104,Tips,Tips
CLIENT_HELP_INC_000105,This selection contains tips that help with game play and other things that are easily overlooked.,ゲームを楽しむ際の忘れがちな点やお得な情報を確認することができるウィンドウです。
CLIENT_HELP_INC_000106,FAQ,ＦＡＱ
CLIENT_HELP_INC_000107,This is the FAQ window. When you have questions you should start here as there are numerous answers to various questions.,ゲームについてよくお問い合わせいただく内容をまとめたウィンドウです。お問い合わせの前に予めご確認ください。
CLIENT_HELP_INC_000108,Information Tab,ゲーム終了
CLIENT_HELP_INC_000109,This tab will give you access to the In-Game notice. Various information and major news will be listed here from time to time. This notice is also displayed by default when the game launches.,このタブでは、ゲーム内のお知らせにアクセスできます。様々な情報や大きなニュースが随時掲載されていきます。この通知は、ゲームの起動時にもデフォルトで表示されます。
CLIENT_HELP_INC_000110,Revive Menu,復活ウィンドウ
CLIENT_HELP_INC_000111,"This window opens when your HP reaches 0. There are three options, 'Lodestar' which allows you to revive from the nearest town. If you have a 'Scroll of Resurrection' you can revive from the spot with the 'Original Place' option. You can also visit the Cash item shop through this menu.",キャラクターのHPが0になって死亡した際に表示され、街中のロードスターに戻るかその場で復活（復活の巻物を所持している場合のみ）かロシャのアイテムショップを選択できます。
CLIENT_HELP_INC_000112,Trade Menu,トレードウィンドウ
CLIENT_HELP_INC_000113,"If you either initiate a Trade or Accept another players Trade Request, you will be presented with this menu. From here you can trade Penya and other various items. The trade will have to be confirmed before it is completed.",他のキャラクターとアイテムやペニャを取引する時に使用するウィンドウです。取引するｷｬﾗｸﾀｰ同士が承認をしてから取引が完了します。
CLIENT_HELP_INC_000114,Bank Menu,銀行ウィンドウ
CLIENT_HELP_INC_000115,This Menu will allow you to store various items and Penya without taking up space in your inventory. You can access your bank from the [Public Office] NPC in each major city.,シティホール管理人にアイテムやペニャを預けたり受け取ったりする際に使用するウィンドウです。ペニャを移動させる時はペニャのアイコンをドラッグしてください。
CLIENT_HELP_INC_000116,Task Bar,デスクバー
CLIENT_HELP_INC_000117,"This section refers to the bar that runs along the bottom of your screen. It houses your Start Menu, System Slots, and Quick Action Slots.",画面下にあるバーで、各種機能を呼び出したり、システムスロット、クイックスロット、アクションスロットが表示されています。
CLIENT_HELP_INC_000118,Start Menu,スタートメニュー
CLIENT_HELP_INC_000119,This Menu allows the user to access all of the game options and various game play functions. Many of the Hot Keyed Menus can be accessed through the Start Menu.,ゲームに必要な各種情報を集めたメニューです。デスクバーの左にあるStartボタンから使用できます。
CLIENT_HELP_INC_000120,System Slots,システムスロット
CLIENT_HELP_INC_000121,"This refers to the slots to the right of the Start Menu. These slots are used so that users can quickly access skills, save text strings, or other various tasks they want to repeat.",デスクバーの左側にあるスロットです。スタートメニュー内の項目を登録して短縮キーで使用することができます。
CLIENT_HELP_INC_000122,Hot Keys,クイックスロット
CLIENT_HELP_INC_000123,This refers to the nine slots in the middle of the bottom bar labeled F1-F9. These slots are linked to the corresponding Function keys and can be triggered accordingly. Reserve these for your most important funtions!,デスクバーの中央にあるスロットです。インベントリ内のアイテムやスキルを登録して短縮キーで使用することができます。
CLIENT_HELP_INC_000124,Action Slot,アクションスロット
CLIENT_HELP_INC_000125,The Action Slot is located in the lower right corner of the screen.,デスクバーの右側にあるスロットです。各種スキルを組み合わせて連続で使用することができます。アクションスロットに登録したスキルは、左シフトキーか「C」キーで使用することができます。
CLIENT_HELP_INC_000126,What is the Action Slot,アクションスロットの使用
CLIENT_HELP_INC_000127,The Action Slot allows you to trigger a pre-determined set of skills. You can place skills in the Action Slot from the Skills Menu.,アクションスロットに登録したスキルを使用するには、目標にマウスカーソルを合わせて左シフトキーまたはCキーで使用できます。（旧バージョンの設定：マウス右クリックで使用できます）
CLIENT_HELP_INC_000128,Using the Action Slot,アクションスロットの連続使用
CLIENT_HELP_INC_000129,"To actually use the Action Slot you will need to select a target and press ""C"". This can be done repeatedly.",アクションスロットのスキルは常に登録したすべてのスキルを使用できるわけではありません。使用する毎にスロットが右側から灰色になっていき、灰色になったスロットは使用することができません。これを一定時間使用しないことで回復していきます。
CLIENT_HELP_INC_000130,Order of the Action Slot,アクションスロットの組合せ
CLIENT_HELP_INC_000131,Skills can be used in a succession as long as you follow the order of the different types of skills. The order is; Step > Circle > Finish. You can only use the action icons if the skills are in order.,アクションスロットには、アイテムとパーティースキル以外のスキルを登録することができます。尚、ジェネラルスキル以外のステップ・サークル・フィニッシュスキルの登録は、必ずステップ->サークル->フィニッシュの順にする必要があります。
CLIENT_HELP_INC_000132,Action Slot Cooldown,アクションスロットの組合せの例
CLIENT_HELP_INC_000133,There is a Cooldown for the Action Slot. As you cast you will notice a shadow the will begin covering the Action Slot. You will not be able to uses Skills that are covered in shadow. Simply wait and the shadow will vanish.,ステップ->サークル->フィニッシュ、ステップ->フィニッシュ、ステップ->サークル->サークル->フィニッシュ、ステップ->サークル、ジェネラル->ジェネラル->ジェネラル、などの組合せが可能です。重要な点として、サークルスキルとフィニッシュスキルの発動には最初にステップスキルが必要になることです。アイコンの形状を確認して色々組み合わせてください。
CLIENT_HELP_INC_000134,Community,コミュニティ
CLIENT_HELP_INC_000135,In order to make Flyff more social and entertaining we encourage users to band together. There is both an intricate Party System and a Guild System.,Flyff Universeのパーティーシステムであるベーシックパーティーとアドバンスパーティー、そしてギルドシステムについて説明します。
CLIENT_HELP_INC_000136,Basic Party System,ベーシックパーティー
