Key,English,Vietnamese
CLIENT_HELP_INC_000010,"Regardless of how you choose to manipulate the camera, the zoom functions will always be the same. You can Zoom in and out with the mouse wheel or the Page Up and Page Down keys. In order to zoom in even further, press the Scroll Lock Button.","Bất kể bạn chọn thao tác với máy ảnh như thế nào, các chức năng thu phóng sẽ luôn giống nhau. Bạn có thể phóng to và thu nhỏ bằng con lăn chuột hoặc các phím Page Up và Page Down. Để phóng to hơn nữa, hãy nhấn nút Scroll Lock."
CLIENT_HELP_INC_000011,Flying,Phi hành (bay)
CLIENT_HELP_INC_000012,A character that has reached level 20 and has finished the flying quest can take advantage of flying with broom and boards.,Nhân vật đạt cấp 20 và hoàn thành nhiệm vụ phi hành (bay) có thể tận dụng lợi thế của việc bay với chổi và ván.
CLIENT_HELP_INC_000013,Station NPC's sell a variety of Brooms and Boards. If you feel like you would like to spice up your method of flying you can check the premium shop for faster and more unique items to fly on.,"Trạm NPC bán nhiều loại Chổi và Ván. Nếu bạn cảm thấy muốn phương pháp bay của mình đặc sắc hơn, bạn có thể kiểm tra cửa hàng cao cấp để bay nhanh hơn và các vật phẩm độc đáo hơn."
CLIENT_HELP_INC_000014,,
CLIENT_HELP_INC_000015,,
CLIENT_HELP_INC_000016,,
CLIENT_HELP_INC_000017,,
CLIENT_HELP_INC_000018,,
CLIENT_HELP_INC_000019,How do I fly?,Làm thế nào để bay?
CLIENT_HELP_INC_000020,"To fly, simply equip a flying board or broom and then press the Space bar. You will automatically accelerate until your reach your maximum speed. To stop, press the Space bar again.","Để bay, bạn chỉ cần trang bị một tấm ván bay hoặc chổi rồi nhấn phím cách. Bạn sẽ tự động tăng tốc cho đến khi đạt tốc độ tối đa. Để dừng, hãy nhấn lại phím cách."
CLIENT_HELP_INC_000021,"You can steer while flying with your mouse or with the W,A,S,D keys.","Bạn có thể điều khiển khi đang bay bằng chuột hoặc bằng các phím W, A, S, D."
CLIENT_HELP_INC_000022,You can buy fuel to increase the speed of your broom or board. Double-click the fuel and press the X key to activate or de-activate the fuel.,Bạn có thể mua nhiên liệu để tăng tốc độ của chổi hoặc ván của bạn. Nhấp đúp vào nhiên liệu và nhấn phím X để kích hoạt hoặc hủy kích hoạt nhiên liệu.
CLIENT_HELP_INC_000023,,
CLIENT_HELP_INC_000024,,
CLIENT_HELP_INC_000025,,
CLIENT_HELP_INC_000026,,
CLIENT_HELP_INC_000027,,
CLIENT_HELP_INC_000028,Combat,Chiến đấu
CLIENT_HELP_INC_000029,"You will encounter hundreds of hostile masquerpets in the land of Madrigal. Depending on what type of character you build, you will have multiple options on how to attack these villainous monsters. These methods will be explained in more detail here.","Bạn sẽ chạm trán với hàng trăm con masquerpets thù địch ở vùng đất Madrigal. Tùy thuộc vào loại nhân vật bạn xây dựng, bạn sẽ có nhiều lựa chọn về cách tấn công những con quái vật phản diện này. Các phương pháp này sẽ được giải thích chi tiết hơn tại đây."
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.","Cùng với những con quái masquerpets này, bạn có thể tham gia vào Trận chiến PVP (Người chơi chiến đấu với người chơi) khốc liệt nếu bạn đã chọn chơi trên Demian. Để tấn công người chơi trên Demian, bạn phải giữ phím Ctrl và sau đó bắt đầu cuộc tấn công của mình."
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,Tấn công cận chiến
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.","Các cuộc tấn công cận chiến được thực hiện với sự đa dạng của tất cả vũ khí cận chiến, bao gồm kiếm, rìu, quyền trượng và thậm chí cả vũ khí bọc vào đốt ngón tay. Để giao chiến với kẻ thù trong một cuộc tấn công Cận chiến, chỉ cần trang bị vũ khí của bạn, nhắm mục tiêu kẻ thù, sau đó nhấp vào chúng."
CLIENT_HELP_INC_000034,Ranged Attack,Phạm vị tấn công
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.","Các cuộc tấn công tầm xa được thực hiện bằng Yo-yo và cung tên. Để tấn công kẻ thù bằng đòn tấn công tầm xa, hãy trang bị vũ khí thích hợp, nhắm mục tiêu vào kẻ thù và sau đó Nhấp chuột phải vào mục tiêu. Lưu ý rằng Bow yêu cầu sử dụng mũi tên."
CLIENT_HELP_INC_000036,Magic Attack,Tấn công ma thuật
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,Đũa phép có khả năng độc đáo là để bắn ra một tấn công bằng ma thuật tích điện. Bạn làm điều này bằng cách giữ chuột phải sau khi bạn đã chọn mục tiêu của mình. Thả nút để khởi động cuộc tấn công của bạn.
CLIENT_HELP_INC_000038,Equipping items,Trang bị vật phẩm
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.","Để trang bị một vật phẩm, hãy mở túi đồ của bạn sau đó nhấp đúp vào vật phẩm bạn muốn trang bị. Sau đó, nó sẽ tự động thay thế vật phẩm mà hiện tại bạn đã trang bị tại vị trí đó. Nhấp đúp vào vật phẩm được trang bị để tìm hiểu nó."
CLIENT_HELP_INC_000040,Using Items,Sử dụng vật phẩm
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,Bạn có thể sử dụng vật phẩm bằng cách nhấp đúp vào nó. Bạn cũng có thể đặt các vật phẩm vào Túi phụ của mình bằng cách mở chúng ra rồi kéo nó qua. Vật phẩm rơi xuống đất nếu bạn đặt vật phẩm bên ngoài kho của mình.
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,Bạn có thể đặt vật phẩm trong thanh tác vụ nhanh ở cuối màn hình. Có thể sử dụng nó ngay lập tức bằng Phím nóng tương ứng hoặc bằng cách nhấp bằng Chuột của bạn. Nhấp chuột phải vào một vật phẩm để xóa vật phẩm đó khỏi vị trí đó 1 cách nhanh chóng.
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,Trò chuyện
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.","Nhấn enter sẽ bật màn hình Menu Trò chuyện nếu bạn đã đóng nó vì bất kỳ lý do gì. Khi Menu trò chuyện được mở, chỉ cần nhấn Enter một lần để chuyển đổi chức năng trò chuyện. Khi bạn đã nhập xong tin nhắn của mình, chỉ cần nhấn Enter một lần nữa để gửi tin nhắn của bạn ra ngoài. Bạn cũng sẽ thấy các nút cho Thì thầm, La hét, Trò chuyện nhóm và Bang hội. Các nút này sẽ lọc tin nhắn của bạn trực tiếp đến các nhóm tương ứng đó. Ngoài ra còn có các tùy chọn để lọc các cuộc trò chuyện đến và xem Tin nhắn hệ thống."
CLIENT_HELP_INC_000046,NPC Trading,Giao dịch cùng NPC
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.","Để giao dịch cùng NPC, nhấp chuột trái vào NPC và chọn Giao Dịch"
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,"Bạn có thể mua một vật phẩm bạn muốn bằng cách kéo nó vào kho của bạn. Giá của vật phẩm sẽ hiển thị và nếu bạn chấp nhận giá, cửa sổ xác nhận sẽ hiện lên. Chấp nhận cửa sổ xác nhận để kết thúc giao dịch."
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.","Nếu bạn đang cố gắng bán các vật phẩm, chỉ cần kéo vật phẩm bạn muốn bán từ kho của mình vào cửa sổ giao dịch NPC."
CLIENT_HELP_INC_000050,Player Trading,Giao dịch giữa người chơi
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.","Nếu bạn muốn giao dịch với người chơi khác, bạn có thể giữ phím ALT và nhấp chuột trái vào người chơi hoặc chỉ cần nhấp chuột phải vào người chơi. Một menu sẽ xuất hiện, chọn giao dịch và đợi người chơi khác chấp thuận giao dịch."
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.","Khi cửa sổ giao dịch mở ra, bạn có thể kéo các vật phẩm hoặc Penya vào cửa sổ. Hãy chắc chắn rằng mọi thứ đúng như cách bạn muốn trước khi nhấp vào OK và CHẤP NHẬN. Đừng bao giờ để bất kỳ ai MƯỢN bất kỳ vật phẩm nào vì họ có thể không trả lại những gì bạn cho họ mượn. Đảm bảo rằng bạn đang nhận được đúng vật phẩm và đúng số lượng Penya trước khi thực hiện giao dịch. Tất cả các giao dịch được thực hiện với rủi ro của riêng bạn, vì vậy hãy rất cẩn thận. Nếu bạn bị mất thứ gì đó, nhận nhầm vật phẩm, hoặc số tiền Penya sai thì bạn không thể làm gì để lấy lại vật phẩm đó. Vì vậy, hãy cẩn thận. Nếu bất kỳ lúc nào bạn cảm thấy không thoải mái với giao dịch, hãy nhấp vào nút HỦY để kết thúc giao dịch."
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,"Sau khi bạn đặt các vật phẩm vào cửa sổ giao dịch và chọn OK và CHẤP NHẬN, giao dịch sẽ được thực hiện và các vật phẩm bạn đã giao dịch sẽ nằm trong kho của bạn. Nếu kho hàng của bạn đầy thì giao dịch sẽ bị hủy bỏ."
CLIENT_HELP_INC_000054,Quests,Nhiệm vụ
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.","NPC có dấu ""!"" Màu vàng trên đầu họ có một Nhiệm vụ mà bạn có thể hoàn thành. Chọn NPC và sau đó chọn Nhiệm vụ mới. Điều này sẽ hiển thị cho bạn tất cả các nhiệm vụ có sẵn và cấp độ cần thiết để chấp nhận nhiệm vụ."
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,"Hoàn thành càng nhiều nhiệm vụ càng tốt, chúng sẽ mang lại cho bạn nhiều phần thưởng cùng với các phần thưởng Kinh nghiệm (EXP) giá trị!"
CLIENT_HELP_INC_000057,Interface,Giao diện
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,Phần này sẽ trình bày chi tiết các Menu khác nhau mà bạn sẽ thấy và sử dụng khi chơi.
CLIENT_HELP_INC_000059,Status Menu,Menu trạng thái
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.","Bạn có thể chuyển đổi cửa sổ này bằng cách nhấn phím T. Cửa sổ này sẽ cung cấp cho bạn trạng thái tổng thể của nhân vật của bạn. Nó bao gồm Health Points, Magic Points, Focus Points, Experience, and Bubble Time."
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.","Tổng HP của bạn tăng lên khi bạn tăng STA, bạn càng có nhiều HP thì bạn sẽ sống lâu hơn. MP cần thiết cho pháp sư và các kỹ năng hỗ trợ. Tổng MP của bạn tăng lên khi bạn tăng INT. FP cần thiết cho lính đánh thuê và các kỹ năng nhào lộn, tổng FP của bạn tăng lên khi bạn tăng STA của mình."
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,Exp ghi nhận lượng kinh nghiệm cần thiết để lên cấp. Exp nhận được khi săn quái vật và hoàn thành nhiệm vụ. Bubble Time là một Buff đặc biệt giúp bạn có thêm Exp. Điều này đã được điền thông qua Guild House và được giải thích tại phần đó của Menu Trợ giúp.
CLIENT_HELP_INC_000063,Character Menu,Menu nhân vật
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.","Menu này có thể được bật tắt bằng phím H. Nó hiển thị thông tin quan trọng về nhân vật. Phần Cơ sở hiển thị thông tin cơ bản như tên nhân vật, công việc, cấp độ, v.v. ... Phần Chi tiết hiển thị trạng thái nhân vật theo trang bị và cấp độ hiện đang sử dụng, và PVP / PK theo dõi thông tin PVP của bạn."
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.","Khi bạn đạt được các cấp độ, bạn sẽ được thưởng Điểm thống kê. Những thứ này có thể được chi tiêu trên Menu này. Điểm thống kê nhận được khi bạn lên cấp và bạn có thể tăng khả năng cơ bản của mình."
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.","ATK đại diện cho Sức tấn công của bạn, đây là lượng sát thương bạn có thể gây ra cho kẻ thù. DEF đại diện cho Phòng thủ của bạn, đây là mức độ sát thương bạn có thể hấp thụ từ tấn công của kẻ thù. Critical có nghĩa là bạn có bao nhiêu cơ hội để thực hiện một cuộc tấn công quan trọng và A. Tốc độ cho thấy nhân vật của bạn sẽ tấn công nhanh như thế nào."
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","STR ảnh hưởng đến sức tấn công của tất cả các vũ khí cận chiến. STA ảnh hưởng đến khả năng phòng thủ, HP tối đa, FP tối đa và phục hồi HP / FP. DEX ảnh hưởng đến tốc độ tấn công, né tránh, ngăn chặn, cơ hội quan trọng và sức mạnh tấn công của cung. INT ảnh hưởng đến MP tối đa, phục hồi MP, sát thương phép thuật và phòng thủ phép thuật."
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,Thẻ Danh vọng / Bậc thầy sẽ hiển thị tất cả các Chức danh mà bạn đã kiếm được. Chọn một trong những chức danh này để cho cả thế giới thấy những gì bạn có thể đạt được!
CLIENT_HELP_INC_000069,Chat Menu,Menu trò chuyện
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.","Nhấn Enter để kích hoạt Menu này và sau đó bạn có thể nhập ký tự vào. Có thể trò chuyện, thì thầm, la hét, trò chuyện nhóm và bang hội. Bạn có thể nhấp vào nút Hệ thống để xem bất kỳ thông báo hệ thống nào đã được hiển thị."
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.","Nếu bạn muốn sao chép và dán tin nhắn đó bằng phím Phím tắt, hãy nhập tin nhắn vào cửa sổ trò chuyện, không nhấn enter, sau đó kéo dấu bong bóng nằm ở bên trái cửa sổ trò chuyện vào vị trí nhanh của bạn."
CLIENT_HELP_INC_000072,Navigator,Điều hướng
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,Nhấn nút N để chuyển đổi Menu này. Bộ điều hướng là bản đồ thu nhỏ nằm ở phía trên bên phải màn hình của bạn.
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.","NPC sẽ xuất hiện dưới dạng chấm tím, trong khi những người chơi khác sẽ xuất hiện dưới dạng chấm trắng. Cửa hàng NPC sẽ được hiển thị với một biểu tượng cho biết họ là cửa hàng nào. Nếu bạn đang thực hiện nhiệm vụ, hãy tìm một chấm màu vàng và đen. Các chấm màu vàng và cam biểu thị đám đông kẻ thù. Nếu bạn sử dụng chuột để cuộn qua một dấu chấm, nó sẽ cho bạn biết tên của mục tiêu cụ thể đó."
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,Có một số nút trên Bản đồ thu nhỏ cũng giúp bạn. Bạn có thể phóng to và thu nhỏ bản đồ thu nhỏ bằng cách sử dụng các biểu tượng + và -. Trình đơn thả xuống sẽ cho phép bạn lọc những gì xuất hiện trên Bản đồ thu nhỏ của bạn.
CLIENT_HELP_INC_000076,Skill Menu,Menu kỹ năng
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,Chuyển đổi Menu này bằng Nút K. Cửa sổ này hiển thị các kỹ năng và cây kỹ năng của nhân vật của bạn. Bạn có thể nâng cấp kỹ năng nếu bạn có các yêu cầu cần thiết.
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.","Để sử dụng kỹ năng, hãy kéo kỹ năng vào các vị trí nhanh ở giữa dưới cùng của màn hình và sử dụng F1 - F9. Nếu không, hãy kéo kỹ năng trong cửa sổ kỹ năng đến vị trí hành động ở phía dưới bên phải của màn hình và nhấn C."
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.","Điểm kỹ năng là cần thiết để nâng cấp kỹ năng của bạn. Bạn sẽ kiếm được điểm kỹ năng khi bạn lên cấp. Nhấp vào kỹ năng bạn muốn tăng và điều chỉnh cấp độ kỹ năng bằng nút +, - và nhấp vào Hoàn Thành."
CLIENT_HELP_INC_000080,Inventory,Kho trữ đồ
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.","Kho trữ đồ của bạn hiển thị cho bạn mọi thứ bạn hiện đã trang bị và mọi thứ bạn đang mang theo. Bạn có thể lưu trữ vũ khí, áo giáp, vật phẩm, tiền Penya và bất cứ thứ gì không được kiểm chứng bên trong túi đồ của bạn. Xem hành trang của bạn bằng cách Nhấn nút I."
CLIENT_HELP_INC_000082,Messenger Menu,Menu tin nhắn
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.","Bạn có thể nói chuyện với bạn bè và Bang hội cũng như kiểm tra trạng thái kết nối hiện tại của họ. Nó sẽ được cập nhật khi bạn thêm bạn bè và thành viên bang hội. Để thêm bạn bè của bạn, hãy giữ ALT và nhấp chuột trái vào nhân vật, sau đó chọn ‘thêm vào danh sách của tôi’ hoặc nhấp vào biểu tượng + nằm bên dưới cửa sổ messenger. Danh sách Bang hội của bạn sẽ tự động cập nhật khi người chơi đến và đi. Ngoài ra còn có một Thẻ để bạn kiểm tra Tình trạng người Cố vấn nhưng hệ thống đó được nêu sau trong Hướng dẫn Trợ giúp."
CLIENT_HELP_INC_000084,Quest Menu,Menu nhiệm vụ
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.","Bằng cách nhấn phím Q, bạn có thể kiểm tra tiến độ của các nhiệm vụ hiện tại và thông tin có giá trị khác về các nhiệm vụ của bạn. Menu này được chia thành các thẻ để giúp bạn tổ chức các nhiệm vụ của mình tốt hơn. Nếu bạn chọn một nhiệm vụ từ danh sách, nhiệm vụ đó sẽ được thêm vào hiển thị trên màn hình của bạn để giúp bạn theo dõi nhanh hơn tiến trình của mình."
CLIENT_HELP_INC_000086,Emotes Menu,Menu chuyển động
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,Cửa sổ này hiển thị các biểu tượng cảm xúc và biểu tượng chuyển động.
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,Bạn có thể mở Menu này bằng cách nhấn O. Bạn có thể nhấp chuột trái vào biểu tượng để sử dụng nó ngay lập tức hoặc kéo nó vào cửa sổ lối tắt và sử dụng nó sau.
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,Menu nhóm
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.","Cửa sổ này quản lý nhóm của bạn. Có nhóm cơ bản và nhóm nâng cao. Nhóm cơ bản là nhóm mà bạn chia sẻ kinh nghiệm và vật phẩm, trong khi nhóm nâng cao sử dụng nhiều kỹ năng của nhóm. Khi một nhóm cơ bản đạt đến cấp độ 10, bạn có thể đổi thành nhóm nâng cao và sử dụng các kỹ năng của nhóm."
CLIENT_HELP_INC_000092,Guild Menu,Menu Bang hội
CLIENT_HELP_INC_000093,"A Guild is a bigger community than a party and anyone level 40 or higher can create one. You have to complete the quest from NPC Helena to make a guild. The Info tab shows general information and notices, the member tab allows you to manage guild members, the title tab shows titles and allows you to pay members, and the duel tab shows info on your guild duels.","Bang hội là một cộng đồng lớn hơn một nhóm và bất kỳ ai từ cấp 40 trở lên đều có thể tạo một bang hội. Bạn phải hoàn thành nhiệm vụ từ NPC Helena để lập bang hội. Thẻ Thông tin hiển thị thông tin và thông báo chung, thẻ thành viên cho phép bạn quản lý các thành viên của bang hội, thẻ tiêu đề hiển thị danh hiệu và cho phép bạn thanh toán cho các thành viên và thẻ đấu hiển thị thông tin về các cuộc đấu bang hội của bạn."
CLIENT_HELP_INC_000094,Options Tab,Thẻ lựa chọn
CLIENT_HELP_INC_000095,This window configures the basic details and options for the Game and can be found in the Start Tab. There are many settings here and they have been separated into two Tabs: Video and Game / Audio.,Cửa sổ này cấu hình các chi tiết và tùy chọn cơ bản cho Trò chơi và bạn có thể tìm thấy trong Thẻ Bắt đầu. Có rất nhiều cài đặt ở đây và chúng đã được tách thành hai Thẻ: Video và Trò chơi / Âm thanh.
CLIENT_HELP_INC_000096,Video,Video
CLIENT_HELP_INC_000097,This window is for video settings. If you set the options to their highest settings you may encounter some additional lag. You will also see other settings for various visual elements.,"Cửa sổ này dành cho cài đặt video. Nếu bạn đặt các tùy chọn thành cài đặt cao nhất, bạn có thể gặp phải một số độ trễ. Bạn cũng sẽ thấy các cài đặt khác cho các yếu tố hình ảnh khác nhau."
CLIENT_HELP_INC_000098,Game / Audio,Trò chơi/ Âm thanh
CLIENT_HELP_INC_000099,"From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music.","Từ thẻ này, bạn có thể cho phép hoặc chặn Giao dịch, Thì thầm, Yêu cầu kết bạn, Yêu cầu chiến đấu, Yêu cầu gia nhập nhóm, cùng với nhiều tùy chọn khác. Bạn cũng có thể kiểm soát các mức âm thanh và âm nhạc của cuộc chiến."
CLIENT_HELP_INC_000100,Helper Tab,Thẻ trợ giúp
CLIENT_HELP_INC_000101,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.,Chọn Thẻ Trợ giúp từ Menu Bắt đầu sẽ mở ra nhiều văn bản trợ giúp khác nhau. Bạn có thể tìm thấy tất cả các hình thức hữu ích trong khu vực này.
CLIENT_HELP_INC_000102,Help,Trợ giúp
