Key,English,Traditional_Chinese
PROPMAP_TXT_100047,Castle Ruins,城堡廢墟
PROPMAP_TXT_100048,High Mountains,高山
PROPMAP_TXT_100049,Redchip Dealer,紅籌碼商人
PROPMAP_TXT_100050,Storm Peak,風暴峰
PROPMAP_TXT_100051,Envy Depths,嫉妒深淵
PROPMAP_TXT_100052,Leren Chasm,勒倫峽谷
PROPMAP_TXT_100053,Rhisis Catacombs,黎席斯地下墓穴
PROPMAP_TXT_100054,Guardiane Sanctuary,守護者聖域
PROPMAP_TXT_100055,Leren Chasm (Medium),勒倫峽谷（中級）
PROPMAP_TXT_100056,Leren Chasm (Hard),勒倫峽谷（困難）
PROPMAP_TXT_100057,Leren Chasm (Extra Hard),勒倫峽谷（超難）
PROPMAP_TXT_100058,Leren Chasm (Nightmare),勒倫峽谷（惡夢）
PROPMAP_TXT_100059,Rhisis Catacombs (Hard),黎席斯地下墓穴（困難）
PROPMAP_TXT_100060,Rhisis Catacombs (Extra Hard),黎席斯地下墓穴（超難）
PROPMAP_TXT_100061,Rhisis Catacombs (Nightmare),黎席斯地下墓穴（惡夢）
PROPMAP_TXT_100062,Envy Depths (Extra Hard),嫉妒深淵（超難）
PROPMAP_TXT_100063,Envy Depths (Nightmare),嫉妒深淵（惡夢）
PROPMAP_TXT_100064,Guardiane Sanctuary (Nightmare),守護者聖域（惡夢）
PROPMAP_TXT_100065,Envy Depths (Medium),嫉妒深淵（中級）
PROPMAP_TXT_100066,Eggcellent's Meadow,蛋蛋樂草原
PROPMAP_TXT_100067,Eggcellent's Meadow (Medium),蛋蛋樂草原(中級)
PROPMAP_TXT_100068,Eggcellent's Meadow (Hard),蛋蛋樂草原(困難)
PROPMAP_TXT_100069,Leren Chasm (Story),勒倫峽谷(劇情)
PROPMAP_TXT_100070,Rhisis Catacombs (Story),黎席斯地下墓穴（故事）
PROPMAP_TXT_100071,Envy Depths (Story),嫉妒深淵(劇情)
PROPMAP_TXT_100072,Guardiane Sanctuary (Story),守護者聖域(劇情)
PROPMAP_TXT_100073,Storm Peak (Story),風暴峰(劇情)
PROPMAP_TXT_200000,The Colosseum,鬥獸場
PROPMAP_TXT_100074,The Wilds (Story),樂斯堤亞(劇情)
PROPMAP_TXT_100075,The Wilds,樂斯堤亞
PROPMAP_TXT_230001,Instance,副本
PROPMAP_TXT_100076,FWC Arena,FWC 競技場
PROPMAP_TXT_100081,Leren Chasm (Cursed),勒倫峽谷(詛咒)
PROPMAP_TXT_100082,Rhisis Catacombs (Cursed),黎席斯地下墓穴（詛咒）
PROPMAP_TXT_100083,Envy Depths (Cursed),嫉妒深淵(詛咒)
PROPMAP_TXT_100084,Guardiane Sanctuary (Cursed),守護者聖域(詛咒)
PROPMAP_TXT_100085,Storm Peak (Cursed),風暴峰(詛咒)
PROPMAP_TXT_200001,Beach House,海濱小屋
PROPMAP_TXT_200002,Blank World,空白世界
PROPMAP_TXT_200003,Guild Ship,公會飛船
PROPMAP_TXT_200004,Forest House,森林小屋
PROPMAP_TXT_200005,Volcano House,熔岩小屋
PROPMAP_TXT_200006,Snow House,雪地小屋
PROPMAP_TXT_200007,Housing Specialist,住宅管理員
PROPMAP_TXT_200008,Pet Tamer,召喚獸馴練師
PROPMAP_TXT_200009,Beach House (S),海濱小屋(小)
PROPMAP_TXT_200010,Beach House (M),海濱小屋(中)
PROPMAP_TXT_200011,Beach House (L),海濱小屋(大)
PROPMAP_TXT_200012,Kalgas Assault Realm,卡爾加斯突擊領域
PROPMAP_TXT_200013,Darken House,黑暗之家
PROPMAP_TXT_100086,2nd Anniversary,2週年紀念
PROPMAP_TXT_100087,2nd Anniversary (Medium),2週年紀念（中級）
PROPMAP_TXT_100088,2nd Anniversary (Hard),2週年紀念（困難）
PROPMAP_TXT_100200,[Event] Envy Depths (Easy),【活動】嫉妒之深淵（簡單）
PROPMAP_TXT_100201,[Event] Envy Depths (Medium),【活動】嫉妒之深淵（中等）
PROPMAP_TXT_100202,[Event] Envy Depths (Hard),【活動】嫉妒之深淵（困難）
PROPMAP_TXT_100089,Lv.15+,等級15+
PROPMAP_TXT_100090,Lv.20+,等級20+
PROPMAP_TXT_100091,Lv.80+,等級80+
PROPMAP_TXT_100092,Lv.100+,等級100+
PROPMAP_TXT_100093,Lv.25+,等級25+
PROPMAP_TXT_100097,Lv.120+,Lv.120+
PROPMAP_TXT_200014,Fall House,秋屋
PROPMAP_TXT_200015,Fall House (S),秋屋(小）
PROPMAP_TXT_200016,Fall House (M),秋屋(中）
PROPMAP_TXT_200017,Fall House (L),秋屋(大）
PROPMAP_TXT_200018,Blank House (Couple),空房子（情侶）
PROPMAP_TXT_200019,Beach House (Couple),海濱房子（情侶）
PROPMAP_TXT_200020,Darken House (Couple),黑暗之家（情侶）
PROPMAP_TXT_200021,Forest House (Couple),森林小屋（情侶）
PROPMAP_TXT_200022,Fall House (Couple),秋屋（情侶）
PROPMAX_TXT_200023,Herneos,埃爾內奧斯
PROPMAP_TXT_200024,Boss Monster Raid,Boss Monster Raid
PROPMAP_TXT_100094,[Event] Halloween Dungeon,[Event] Halloween Dungeon
PROPMAP_TXT_100095,[Event] Halloween Dungeon (Normal),[Event] Halloween Dungeon (Normal)
PROPMAP_TXT_100096,[Event] Halloween Dungeon (Hard),[Event] Halloween Dungeon (Hard)
PROPMAP_TXT_200025,Snowfield,Snowfield
PROPMAX_TXT_200026,Ankou's Asylum,安庫魔域
PROPMAP_TXT_200027,Kaillun Temple,Kaillun Temple
PROPMAP_TXT_200028,Eillun,Eillun
PROPMAP_TXT_200029,Kaillun,Kaillun
PROPMAP_TXT_200030,Leren Chasm (Infernal),Leren Chasm (Infernal)
PROPMAP_TXT_200031,Rhisis Catacombs (Infernal),Rhisis Catacombs (Infernal)
PROPMAP_TXT_200032,Envy Depths (Infernal),Envy Depths (Infernal)
PROPMAP_TXT_200033,Guardiane Sanctuary (Infernal),Guardiane Sanctuary (Infernal)
PROPMAP_TXT_200034,Storm Peak (Infernal),Storm Peak (Infernal)
PROPMAP_TXT_200035,The Wilds (Infernal),The Wilds (Infernal)
PROPMAP_TXT_200036,Ankou's Asylum (Story),安庫魔域 (劇情模式)
PROPMAP_TXT_200037,Seabed,Seabed
