Key,English,Traditional_Chinese
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,特調魔力多 (大)
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,終極魔力多
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,金閃閃藥丸
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,閃耀金丸
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,強韌肌膚配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,力量上升配方
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,老虎藥水
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,兔子藥水
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,狐狸藥水
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,獅子藥水
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,精準配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,逃避配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,迅捷配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,清晰配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,魯莽配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,出血配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,迅捷腳步配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,快速恢復HP配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,快速恢復ＭP配方
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,快速恢復FP配方
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,能量刷新劑
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Power Vital Drink
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Trimmed Nameless Fish
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Trimmed Nameless Fish2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Trimmed Shrimp
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Trimmed Shrimp2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Trimmed Cod
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Trimmed Cod2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Trimmed Herring
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Trimmed Herring2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Trimmed Squid
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Trimmed Squid2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Trimmed Mackerel
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Trimmed Mackerel2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Trimmed Eel
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Trimmed Eel2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Trimmed Salmon
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Trimmed Salmon2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Trimmed Tuna
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Trimmed Tuna2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Cheese
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Tomato Sauce
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Bread Dough
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Butter
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Cooked Rice
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Fish Sauce
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,棒棒糖
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,肉串
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,餅乾
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Fish Ball
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pancake,海鮮餅
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,鮮魚濃湯
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,麵包
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,火鍋
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,熱狗
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,悶燒鱈魚
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,可樂餅
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,海鮮火鍋
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Grilled Mackerel
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,炸雞腿
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Fried Squid
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,碎星糖
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Fish Cutlet
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,沙拉
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,披薩
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Fried Shrimp
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Shrimp Fried Rice
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,焗飯
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,珊瑚島咖哩
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Tuna Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Red Fish Ball
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Blue Fish Ball
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Green Fish Ball
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Purple Fish Ball
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Rainbow Fish Ball
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Orange Fish Ball
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Sky Blue Fish Ball
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Yellow Fish Ball
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Pink Fish Ball
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Grey Fish Ball
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,White Fish Ball
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Pickled Herring
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Salmon Steak
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Fish Sandwich
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Grilled Salted Eel
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Plywood
PRODUCTION_RECIPE_NAME_RESIN,Resin,Resin
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Finishing Material
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Cedar Hardwood
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Cherry Hardwood
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Pine Hardwood
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Maple Hardwood
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Oak Hardwood
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Walnut Hardwood
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Teak Hardwood
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Ebony Hardwood
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Mahogany Hardwood
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Red Paint
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Blue Paint
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Yellow Paint
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Green Paint
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Black Paint
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,White Paint
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Gold Paint
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,木製椅
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,木桌子
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,木抽屜
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,木書櫃
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,木沙發
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,木黃色椅子
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,木黃色桌子
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,木製黃色梳妝台
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,木製黃色衣櫃
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,木製黃色長椅
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,木黃色櫃子
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,木製黃色床
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,木製藍色椅子
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,木製藍色桌子
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,木製藍色化妝桌
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,木製藍色衣櫃
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,木製藍色長椅
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,木製藍色櫃子
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,木製藍色床
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,木製紅色椅子 
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,木製紅色桌子
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,木製紅色化妝桌
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,木製紅色衣櫃
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,木製紅色長椅
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,木製紅櫃
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,木製紅色床
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,音樂椅
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,音樂桌
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,音樂化妝桌
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,音樂衣櫃
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,音樂沙發
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,音樂櫃
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,音樂床
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,摩登椅
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,摩登桌
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,摩登化妝桌
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,摩登衣櫃
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,摩登沙發
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,摩登櫥櫃
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,摩登床
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,設計黑椅子
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,設計白椅子
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,設計桌
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,設計抽屜
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,設計書櫃
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,設計沙發
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,紅心椅
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,紅心桌
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,紅心化妝桌
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,紅心衣櫃
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,紅心沙發
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,紅心櫃子
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,紅心床
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,靠墊椅
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,指揮平台
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,小桌子
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,抽屜
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,雙人床
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,皇家椅
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,皇家桌
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,皇家化妝桌
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,皇家衣櫃
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,皇家沙發
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,皇家床
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,皇家抽屜
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,皇家書櫃
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,皇家書桌
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,皇家浴缸
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,金色皇家椅
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,金色皇家著
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,金色皇家化妝桌
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,金色皇家衣櫃
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,金色皇家沙發
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,金色皇家床
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,金色皇家抽屜
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,金色皇家書櫃
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,金色皇家桌子
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,金色皇家浴缸
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Alchemy Desk
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Hearth
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Carpentry Workspace
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Smithing Workspace
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Jewel Powder
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Marble
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Crystal
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Polished Turquoise
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Malachite
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Polished Jade
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Polished Silver
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Polished Gold
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Polished Platinum
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Polished Diamond
PRODUCTION_RECIPE_NAME_GLASS,Glass,Glass
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Imitation Pearl
PRODUCTION_RECIPE_NAME_FLASK,Flask,Flask
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Hinge
PRODUCTION_RECIPE_NAME_SPRING,Spring,Spring
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Golden Sphere
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Jewel String
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Silverwork
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Goldwork
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,旋轉地球儀
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,吊燈
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Mirror
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Silverwork of Attack
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Silverwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Goldwork of Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Goldwork of Magic Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Goldwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Goldwork of Magic Resistance
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Cut Jade of Fire Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Cut Jade of Water Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Cut Jade of Wind Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Cut Jade of Earth Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Cut Jade of Lightning Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Cut Jade of Fire Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Cut Jade of Water Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Cut Jade of Wind Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Cut Jade of Earth Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Cut Jade of Lightning Defense
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,活力戒指
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,史丹姆戒指
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,歐蕾克戒指
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Inteli Ring
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,普拉格耳環
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,迪莫耳環
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,鈷文項鍊
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,媚丹項鍊
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,妃玹項鍊
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted Silver Ring,Handcrafted Silver Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted Gold Ring,Handcrafted Gold Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted Platinum Ring,Handcrafted Platinum Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted Diamond Ring,Handcrafted Diamond Ring
