Key,English,Indonesian
CLIENT_HELP_INC_000030,"Along with these masquerpets, you can engage in intense PVP Combat if you have chosen to play on Demian. To attack players on Demian, you must hold down the Ctrl Key and then initiate your attack.","Dengan topeng-topeng ini, kamu dapat terlibat dalam Pertempuran PVP yang intens jika kamu memilih untuk bermain di Demian. Untuk menyerang pemain di Demian, kamu harus menahan tombol Ctrl dan kemudian memulai serangan."
CLIENT_HELP_INC_000031,,
CLIENT_HELP_INC_000032,Melee Attack,Melee Attack
CLIENT_HELP_INC_000033,"Melee attacks are done with all variations of close combat weapons, this includes swords, axes, staffs, and even knuckle weapons. To engage a enemy in a Melee attack simply equip your weapon, target your enemy, and then click on them.","Serangan jarak dekat dilakukan dengan semua variasi senjata pertempuran jarak dekat, ini termasuk sword, axe, staff, dan bahkan knuckle weapon. Untuk melawan musuh dalam serangan Melee cukup lengkapi senjatamu, targetkan musuh, lalu klik pada mereka."
CLIENT_HELP_INC_000034,Ranged Attack,Ranged Attack
CLIENT_HELP_INC_000035,"Ranged attacks are done with Yo-yos, and bows. To engage an enemy with a ranged attack, equip the appropriate weapon, target the enemy, and then Right Click on the target. Note that Bow require arrows to be used.","Serangan jarak jauh dilakukan dengan Yo-yo, dan bow. Untuk menyerang musuh dengan serangan jarak jauh, gunakan senjata yang sesuai, targetkan musuh, lalu Klik Kanan pada target.   Perhatikan bahwa Bow membutuhkan panah untuk digunakan."
CLIENT_HELP_INC_000036,Magic Attack,Magic Attack
CLIENT_HELP_INC_000037,Wands have the unique ability to shoot a charged magic attack. Do this by holding down the Right Mouse button after you have selected your target. Release the button to launch your attack.,Wands memiliki kemampuan unik untuk menembakkan magic attack. Lakukan ini dengan menahan tombol Mouse Kanan setelah kamu memilih targetmu. Lepaskan tombol tersebut untuk meluncurkan seranganmu.
CLIENT_HELP_INC_000038,Equipping items,Equipping items
CLIENT_HELP_INC_000039,"To equip an item, open your inventory then double-click the item you want to equip. It will then automatically replace the item you currently have equipped in that slot. Double-click on equipped item to unequip it.","Untuk equip item, buka inventorymu lalu klik dua kali item yang ingin kamu equip. Kemudian secara otomatis akan mengganti item yang saat ini kamu equip di slot itu. Klik dua kali pada item yang diequip untuk melepaskannya."
CLIENT_HELP_INC_000040,Using Items,Using Items
CLIENT_HELP_INC_000041,You can use an item by double-clicking it. You can also place items in your Extra Bags by simply opening them and then dragging it over. The item drops to the ground if you place the item outside your inventory.,Kamu dapat menggunakan item dengan mengklik dua kali. Kamu juga dapat menempatkan item di Extra Bag dengan membukanya lalu menariknya ke atas. Item akan jatuh ke tanah jika item ditempatkan di luar inventory.
CLIENT_HELP_INC_000042,You can place an item in the quick task bar located at the bottom of your screen. It is possible to use it instantly with the corresponding Hot Key or by clicking with your Mouse. Right click an item to remove the item from the quick slot.,Kamu dapat menempatkan item di quick task bar yang terletak di bagian bawah layar. Memungkin untuk menggunakannya secara instan dengan Hot Key yang sesuai atau dengan mengklik dengan Mousemu. Klik kanan item untuk menghapus item dari quick slot.
CLIENT_HELP_INC_000043,,
CLIENT_HELP_INC_000044,Chatting,Chatting
CLIENT_HELP_INC_000045,"Pressing enter will toggle the Chat Menu display on if you have closed it for any reason. Once the Chat Menu is open simply press Enter one time to toggle the chat function. Once you have typed your message simply press Enter again to send your message out. You will also see buttons for Whisper, Shout, Party, and Guild. These buttons will filter your message directly to those respective groups. There are also options for filtering your incoming chats, and viewing System Messages.","Menekan enter akan mengaktifkan tampilan Chat Menu jika kamu telah menutupnya. Setelah Chat Menu terbuka cukup tekan Enter satu kali untuk mengaktifkan chat function. Setelah mengetik pesan cukup tekan Enter lagi untuk mengirim pesanmu. Kamu juga akan melihat tombol untuk Whisper, Shout, Party, dan Guild. Tombol-tombol ini akan memfilter pesan langsung ke masing-masing grup tersebut. Ada juga opsi untuk memfilter incoming chat, dan melihat System Messages."
CLIENT_HELP_INC_000046,NPC Trading,NPC Trading
CLIENT_HELP_INC_000047,"To trade with an NPC, left click the NPC and choose Trade.","Untuk trade dengan NPC, klik kiri pada NPC dan pilih Trade."
CLIENT_HELP_INC_000048,You can purchase an item you want by dragging it into your inventory. The price of the item will show and if you accept the price a confirmation window will pop-up. Accept the confirmation window to finish the transaction.,"Kamu dapat membeli item yang diinginkan dengan menariknya ke inventory. Harga barang akan ditampilkan dan jika kamu menerima harga tersebut, confirmation window akan muncul. Terima confirmation window untuk menyelesaikan transaksi."
CLIENT_HELP_INC_000049,"If you are trying to sell items, just drag the item you want to sell from your inventory, into the NPC trade window.","Jika kamu mencoba menjual barang, cukup tarik barang yang ingin kamu jual dari inventory, ke trade window NPC."
CLIENT_HELP_INC_000050,Player Trading,Player Trading
CLIENT_HELP_INC_000051,"If you would like to trade with another player, you can hold down the ALT key and Left Click on the player, or simply Right Click on the player . A menu will appear, select trade, and wait for the other player to approve the trade.","Jika ingin melakukan trade dengan pemain lain, kamu dapat menahan tombol ALT dan Klik Kiri pada pemain, atau cukup Klik Kanan pada pemain . Menu akan muncul, pilih trade, dan tunggu pemain lain untuk menyetujui trade."
CLIENT_HELP_INC_000052,"Once the trade window opens you can drag items or Penya into the window. Make very sure that everything is just how you want it before clicking OK and ACCEPT. Never let anyone BORROW any items as they may not return what you lend them. Make sure you are getting the right items and right amount of Penya before you go through with a trade. All trades are done at your own risk so please be very careful. If you lose something, get the wrong item, or the wrong Penya amount there is nothing that can be done to get the item back. So be careful. If at any time you feel uncomfortable with a trade click the CANCEL button to end the trade.","Setelah trade window terbuka, kamu dapat menarik item atau Penya ke dalam window. Pastikan semuanya sesuai keinginan sebelum mengklik OK dan ACCEPT. Jangan pernah membiarkan siapa pun MEMINJAM barang apa pun karena mungkin tidak akan dikembalikan. Pastikan kamu mendapatkan item yang tepat dan jumlah Penya yang tepat sebelum kamu melakukan trade. Semua resiko trade menjadi tanggung jawab sendiri, jadi harap berhati-hati. Jika kehilangan sesuatu, mendapatkan item yang salah, atau jumlah Penya yang salah, tidak ada yang bisa dilakukan untuk mendapatkan item tersebut kembali. Jadi berhati-hatilah. Jika sewaktu-waktu kamu merasa tidak nyaman dengan trade, klik tombol CANCEL untuk mengakhiri trade."
CLIENT_HELP_INC_000053,Once you put items in a trade window and select OK and ACCEPT the trade will go through and the items you traded for will be in your inventory. If your inventory box is full the trade will be canceled.,"Setelah kamu menaruh barang di trade window dan pilih OK dan ACCEPT trade akan berjalan dan barang yang ditrade akan ada di inventory. Jika inventory penuh, trade akan dibatalkan."
CLIENT_HELP_INC_000054,Quests,Quests
CLIENT_HELP_INC_000055,"NPC's with a Yellow ""!"" above their heads have a Quest you can complete. Select the NPC and then select New Quest. This will show you all of the available quests and the level required to accept the quest.","NPC dengan tanda ""!"" Kuning di atas kepala mereka memiliki Quest yang dapat selesaikan. Pilih NPC lalu pilih New Quest. Akan ditampilkan semua pencarian yang tersedia dan level yang diperlukan untuk menerima quest."
CLIENT_HELP_INC_000056,Complete as many quests as you can as they will give you many rewards along with valuable Exp bonuses!,Selesaikan quest sebanyak mungkin karena mereka akan memberimu banyak hadiah dan bonus Exp!
CLIENT_HELP_INC_000057,Interface,Interface
CLIENT_HELP_INC_000058,This Section will detail the various Menus you will be seeing and using while you play.,Bagian ini akan merinci berbagai Menu yang akan kamu lihat dan gunakan saat bermain.
CLIENT_HELP_INC_000059,Status Menu,Status Menu
CLIENT_HELP_INC_000060,"Press T to toggle this window. This window shows your character's overall status, including HP (Hit Points), MP (Magic Points), FP (Focus Points), and EXP.","Kamu dapat mengaktifkan window ini dengan menekan Tombol T. Window ini akan memberi status secara keseluruhan pada karaktermu. Ini termasuk Health Points, Magic Points, Focus Points, Experience, dan Bubble Time."
CLIENT_HELP_INC_000061,"Your total HP increases as you increase STA. The more HP you have, the longer you can survive. MP is required for Magician and Assist skills, and your total MP increases as you increase INT. FP is required for Mercenary and Acrobat skills, and your total FP increases as you increase STA.","Total HP meningkat saat kamu meningkatkan STA, semakin banyak HP yang dimiliki, semakin lama akan hidup. MP diperlukan untuk magician dan assist skill. Total MP meningkat saat kamu meningkatkan INT. FP diperlukan untuk mercenary dan acrobat skill, total FP meningkat saat kamu meningkatkan STA."
CLIENT_HELP_INC_000062,EXP shows how much experience you need to level up. You gain EXP by defeating monsters and completing quests.,Exp mencatat jumlah experience yang diperlukan untuk naik level. Exp diperoleh dengan berburu monster dan menyelesaikan quest. Bubble Time adalah Buff spesial yang memberikan bonus Exp. Ini diisi melalui Guild House dan dijelaskan Help Menu dibagian bawah.
CLIENT_HELP_INC_000063,Character Menu,Character Menu
CLIENT_HELP_INC_000064,"This Menu can be toggled with the H Key. It displays important information about the character. The Base Section displays basic information such as character name, job, level, etc... The Detail Section displays the character status according to the currently used equipment and level, and PVP/PK tracks your PVP information.","Menu ini dapat diaktifkan dengan Tombol H. Menampilkan informasi penting tentang karakter. Base Section menampilkan informasi dasar seperti nama karakter, pekerjaan, level, dll... Detail Section menampilkan status karakter sesuai dengan equipment dan level yang saat ini digunakan, dan PVP/PK melacak informasi PVPmu."
CLIENT_HELP_INC_000065,"When you gain levels you will be awarded Stat Points. These can be spent on this Menu. Stat Points are gained as you level up, and you can increase your base abilities.","Ketika kamu naik level, kamu akan mendapatkan Stat Points yang dapat digunakan pada menu ini."
CLIENT_HELP_INC_000066,"ATK represents your Attack Power, this is how much damage you can deliver to the enemy. DEF represents your Defense, this is how much damage you can absorb from an enemy's attack. Critical means how much chance you have to make a critical attack, and A. Speed shows how fast your character will attack.","ATK menunjukkan Attack Power, ini berapa banyak damage yang dapat diberikan kepada musuh. DEF menunjukkan Defense, ini berapa banyak damage yang dapat diserap dari serangan musuh. Critical berarti berapa besar peluang untuk membuat critical attack. Speed menunjukkan seberapa cepat karakter akan menyerang."
CLIENT_HELP_INC_000067,"STR affects the attack power of all melee weapons. STA affects defense, max HP, max FP, and HP/FP restoration. DEX affects attack speed, dodge, blocking, critical chance and bow attack power. INT affects maximum MP, MP restoration, magical spell damage and magic defense.","STR mempengaruhi attack power semua melee weapon. STA memengaruhi defense, max HP, max FP, dan pemulihan HP/FP. DEX mempengaruhi attack speed, dodge, memblokir, blocking, critical chance dan bow attack power. INT memengaruhi MP maksimum, pemulihan MP, magical spell damage, dan magic defense.."
CLIENT_HELP_INC_000068,The Fame/Master Tab will display of all the Titles you have earned. Select one of these Titles to show the world what you can accomplish!,Tab Fame/Master akan menampilkan semua Title yang telah diperoleh. Pilih salah satu dari Title ini untuk menunjukkan pencapaianmu!
CLIENT_HELP_INC_000069,Chat Menu,Chat Menu
CLIENT_HELP_INC_000070,"Press Enter to activate this Menu and then you can type in it. Chat, Whisper, Shout, Party and Guild Chats are possible. You can click the System button to view any system messages that have been displayed.","Tekan Enter untuk mengaktifkan Menu ini dan kemudian kamu dapat mengetik didalamnya. Ada juga Chat, Whisper, Shout, Party dan Guild Chat. Kamu dapat mengklik tombol System untuk melihat pesan sistem yang telah ditampilkan."
CLIENT_HELP_INC_000071,"If you want to copy a message and paste it with the Shortcut key then type the message into the chat window, don’t press enter, then drag the balloon mark located on the left side of the chat window to your quick slot.","Jika kamu ingin copy pesan dan taruh dengan Shortcut key lalu ketik pesan ke chat window, jangan tekan enter, lalu tarik tanda balon yang terletak di sisi kiri chat window ke quick slot."
CLIENT_HELP_INC_000072,Navigator,Navigator
CLIENT_HELP_INC_000073,Press the N Button to toggle this Menu. The Navigator is the mini-map located at the upper-right of your screen.,Tekan Tombol N untuk beralih ke Menu ini. Navigator adalah mini-map yang terletak di kanan atas layar.
CLIENT_HELP_INC_000074,"NPC's will appear as purple dots, while other players will appear as white dots. NPC Shops will be displayed with an icon that indicates what shop they are. If you are turning in a quest look for a yellow and black dot. Yellow and orange dots indicate enemy mobs. If you use your mouse to roll over a dot, it will tell you the name of that specific target.","NPC akan muncul dengan titik ungu, sementara pemain lain akan muncul dengan titik putih. NPC Shop akan ditampilkan dengan ikon yang menunjukkan jenis toko tersebut. Jika beralih dalam quest, cari titik kuning dan hitam. Titik kuning dan oranye menandakan enemy mobs. Jika menggunakan mouse untuk menggulirkan titik, nama spesifik target akan diketahui."
CLIENT_HELP_INC_000075,There are a few buttons on the Mini-Map to help you as well. You can zoom the mini-map in and out using the + and - icons. The drop down will allow you to filter what appears on your Mini-Map.,Ada beberapa tombol di Mini-Map untuk membantu. Kamu dapat memperbesar dan memperkecil mini-map menggunakan ikon + dan -. Drop down akan memungkinkan untuk memfilter yang muncul di Mini-Map.
CLIENT_HELP_INC_000076,Skill Menu,Skill Menu
CLIENT_HELP_INC_000077,Toggle this Menu with the K Button. This window displays the skills and skill tree of your character. You can upgrade skills if you have the necessary requirements.,Alihkan Menu ini dengan Tombol K. Window ini menampilkan skill dan skill tree karaktermu. Dapat meningkatkan skill jika memenuhi persyaratan yang diperlukan.
CLIENT_HELP_INC_000078,"To use skills, drag the skill to the quick slots in the bottom center of the screen and use F1 - F9. Otherwise, drag the skill in the skill window to the Action Slot on the bottom right of the screen and press C.","Untuk menggunakan skill, tarik skill ke quick slot di tengah bawah layar dan gunakan F1 - F9. Sebaliknya, tarik skill di skill window ke Action Slot di kanan bawah layar dan tekan C."
CLIENT_HELP_INC_000079,"Skill points are necessary to level up your skill. Skill points are earned as you level up. Click the skill you want to increase and adjust the skill level with +,- button and click Finish.","Skill point diperlukan untuk meningkatkan skill. Skill point diperoleh saat naik level. Klik skill yang ingin ditingkatkan dan sesuaikan level skill dengan tombol +,- dan klik Finish."
CLIENT_HELP_INC_000080,Inventory,Inventory
CLIENT_HELP_INC_000081,"Your inventory shows you everything you currently have equipped and everything you are carrying. You can store weapons, armor, items, Penya and anything that isn't nailed down inside your inventory. View your inventory by Pressing the I Button.","Inventory menampilkan semua yang dimiliki saat ini dan semua yang kamu bawa. Dapat menyimpan weapon, armor, item, Penya dan lain lain. Lihat inventory dengan Menekan Tombol I."
CLIENT_HELP_INC_000082,Messenger Menu,Messenger Menu
CLIENT_HELP_INC_000083,"You can talk to friends and guild mates as well as check their current connection status. It will be updated as you add friends and guild members. To add your friend, hold down ALT and left click the character, then select ‘add to my list’ or click the + icon located below the messenger window. Your Guild list will automatically update as players come and go. There is also a Tab to check you Mentor Pupil Status but that system is outlined later in the Help Guide.","Kamu dapat berbicara dengan teman dan Guildies serta memeriksa status koneksi mereka saat ini. Diperbarui saat menambahkan teman dan guild member. Untuk menambahkan teman, tahan ALT dan klik kiri karakter, lalu pilih 'tambahkan ke daftar saya' atau klik ikon + yang terletak di bawah messenger window. Daftar Guild akan diperbarui secara otomatis saat pemain masuk dan keluar. Ada juga Tab untuk memeriksa Mentor Pupil Status, tetapi sistem itu akan dijelaskan di Help Guide."
CLIENT_HELP_INC_000084,Quest Menu,Quest Menu
CLIENT_HELP_INC_000085,"By pressing the Q Button, you can check the progress of your current quests and other valuable information about your quests. This Menu is divided into tabs to better help you organize your quests. If you select a quest from the list it will be added to your on screen display to help you better track your progress quickly.","Dengan menekan Tombol Q, kamu dapat memeriksa progress questmu saat ini dan informasi penting lainnya tentang quest. Menu ini dibagi menjadi beberapa tab untuk mengatur quest. Jika memilih quest dari daftar, akan ditambahkan ke screen display untuk melacak progress lebih cepat."
CLIENT_HELP_INC_000086,Emotes Menu,Emotes Menu
CLIENT_HELP_INC_000087,This window displays emoticons and emotes that you can use to express yourself.,Window ini menampilkan emoticon dan motion icon.
CLIENT_HELP_INC_000088,You can open this Menu by pressing O. You can left click the icon to use it instantly or drag it the shortcut window and use it later.,Kamu dapat membuka Menu ini dengan menekan O. Kamu dapat mengklik kiri icon untuk menggunakannya atau menariknya ke shortcut window dan menggunakannya nanti.
CLIENT_HELP_INC_000089,,
CLIENT_HELP_INC_000090,Party Menu,Party Menu
CLIENT_HELP_INC_000091,"This window manages your party. There are basic parties and advanced parties. Basic parties are groups that you share exp and items with, while an advanced party uses various party skills. When a basic party reaches level 10 you can change it to an advanced party and use party skills.","Window ini mengelola partymu. Ada basic party dan advanced party. Basic party adalah grup tempat kamu berbagi exp dan item, sedangkan advanced party menggunakan berbagai skill party. Saat basic party mencapai level 10, kamu dapat mengubahnya menjadi advanced party dan menggunakan skill party."
CLIENT_HELP_INC_000092,Guild Menu,Guild Menu
CLIENT_HELP_INC_000093,"A Guild is a bigger community than a party and anyone level 40 or higher can create one. You have to complete the quest from NPC Helena to make a guild. The Info tab shows general information and notices, the member tab allows you to manage guild members, the title tab shows titles and allows you to pay members, and the duel tab shows info on your guild duels.","Guild adalah komunitas yang lebih besar daripada sebuah party dan siapa pun dengan level 40 atau lebih tinggi dapat membuatnya. Kamu harus menyelesaikan quest dari NPC Helena untuk membuat guild. Tab Info menunjukkan informasi umum dan pemberitahuan, member tab memungkinkan untuk mengelola guild member, title tab menunjukkan judul dan memungkinkan untuk membayar anggota, dan duel tab menunjukkan info tentang guild duel."
CLIENT_HELP_INC_000094,Options Tab,Options Tab
CLIENT_HELP_INC_000095,This window configures the basic details and options for the Game and can be found in the Start Tab. There are many settings here and they have been separated into two Tabs: Video and Game / Audio.,Window ini mengonfigurasi basic detail dan opsi untuk Game dan dapat ditemukan di Start Tab. Ada banyak pengaturan di sini dan telah dipisahkan menjadi dua Tab: Video dan Game / Audio.
CLIENT_HELP_INC_000096,Video,Video
CLIENT_HELP_INC_000097,This window is for video settings. If you set the options to their highest settings you may encounter some additional lag. You will also see other settings for various visual elements.,"Window ini untuk pengaturan video. Jika mengatur opsi ke pengaturan tertinggi, kamu mungkin mengalami lag. Serta akan melihat pengaturan lain untuk berbagai elemen visual."
CLIENT_HELP_INC_000098,Game / Audio,Game / Audio
CLIENT_HELP_INC_000099,"From this tab you can allow or block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, along with numerous other options. You can also control the audio levels and Battle Music.","Dari tab ini kamu dapat allow atau block Trades, Whispers, Friend Requests, Duel Requests, Party Requests, dan banyak pilihan lainnya. Serta dapat mengontrol level audio dan Battle Music."
CLIENT_HELP_INC_000100,Helper Tab,Helper Tab
CLIENT_HELP_INC_000101,Selecting the Help Tab from the Start Menu will open various help texts. You can find all forms of helpful things in this area.,Memilih Help Tab dari Start Menu akan membuka berbagai teks bantuan. Kamu dapat menemukan segala hal yang membantu disini.
CLIENT_HELP_INC_000102,Help,Help
CLIENT_HELP_INC_000103,This selection includes the Helper Tree you are currently looking at. There are numerous topics here that are described in detail to help give you a better understanding of the game.,Pilihan ini memuat Helper Tree yang sedang kamu cari. Ada banyak topik yang dijelaskan dengan rinci tentang permainan.
CLIENT_HELP_INC_000104,Tips,Tips
CLIENT_HELP_INC_000105,This selection contains tips that help with game play and other things that are easily overlooked.,Pilihan ini berisi tips yang membantu bermain game dan hal-hal lainnya.
CLIENT_HELP_INC_000106,FAQ,FAQ
CLIENT_HELP_INC_000107,This is the FAQ window. When you have questions you should start here as there are numerous answers to various questions.,Ini adalah FAQ window. Dapat membantu menjawab berbagai pertanyaanmu.
CLIENT_HELP_INC_000108,Information Tab,Information Tab
CLIENT_HELP_INC_000109,This tab will give you access to the In-Game notice. Various information and major news will be listed here from time to time. This notice is also displayed by default when the game launches.,Tab ini akan memberi akses ke In-Game notice. Berbagai informasi dan berita utama akan selalu ditampilkan disini. Pemberitahuan ini juga ditampilkan secara default saat game diluncurkan.
CLIENT_HELP_INC_000110,Revive Menu,Revive Menu
CLIENT_HELP_INC_000111,"This window opens when your HP reaches 0. There are three options, 'Lodestar' which allows you to revive from the nearest town. If you have a 'Scroll of Resurrection' you can revive from the spot with the 'Original Place' option. You can also visit the Cash item shop through this menu.","Window ini terbuka ketika HP mencapai 0. Ada tiga pilihan, 'Lodestar' yang memungkinkan untuk revive dari kota terdekat. Jika memiliki 'Scroll of Resurrection', dapat revive dari tempat dengan opsi 'Original Place'. Dapat mengunjungi toko barang Tunai melalui menu ini."
CLIENT_HELP_INC_000112,Trade Menu,Trade Menu
CLIENT_HELP_INC_000113,"If you either initiate a Trade or Accept another players Trade Request, you will be presented with this menu. From here you can trade Penya and other various items. The trade will have to be confirmed before it is completed.","Jika memulai Trade atau Accept Trade Request pemain lain, akan disajikan menu ini. Dari sini kamu dapat menukar Penya dan berbagai item lainnya. Trade harus dikonfirmasi sebelum selesai."
CLIENT_HELP_INC_000114,Bank Menu,Bank Menu
CLIENT_HELP_INC_000115,This Menu will allow you to store various items and Penya without taking up space in your inventory. You can access your bank from the [Public Office] NPC in each major city.,Menu ini berfungsi untuk menyimpan berbagai item dan Penya tanpa menghabiskan space di inventory. Kamu dapat mengakses bank dari NPC [Public Office] di setiap kota besar.
CLIENT_HELP_INC_000116,Task Bar,Task Bar
CLIENT_HELP_INC_000117,"This section refers to the bar that runs along the bottom of your screen. It houses your Start Menu, System Slots, and Quick Action Slots.","Bagian ini merujuk pada bar yang membentang di sepanjang bagian bawah layarmu. Itu mencakup Start Menu, System Slot, dan Quick Action Slot."
CLIENT_HELP_INC_000118,Start Menu,Start Menu
CLIENT_HELP_INC_000119,This Menu allows the user to access all of the game options and various game play functions. Many of the Hot Keyed Menus can be accessed through the Start Menu.,Menu ini memudahkan pengguna untuk mengakses semua opsi permainan dan berbagai fungsi permainan. Banyak dari Hot Keyed Menus dapat diakses melalui Start Menu.
CLIENT_HELP_INC_000120,System Slots,System Slots
CLIENT_HELP_INC_000121,"This refers to the slots to the right of the Start Menu. These slots are used so that users can quickly access skills, save text strings, or other various tasks they want to repeat.","Ini mengacu pada slot di sebelah kanan Start Menu. Slot ini digunakan agar pengguna dapat dengan cepat mengakses skill, menyimpan text string, atau berbagai task yang ingin mereka ulangi."
CLIENT_HELP_INC_000122,Hot Keys,Hot Keys
CLIENT_HELP_INC_000123,This refers to the nine slots in the middle of the bottom bar labeled F1-F9. These slots are linked to the corresponding Function keys and can be triggered accordingly. Reserve these for your most important funtions!,Hal ini mengacu kepada 9 slot yang berada di tengah-tengah bar bawah berlabel F1-F9. Slot-slot ini terkait dengan tombol fungsi yang sesuai dan dapat dipicu sesuai dengan itu. Gunakan untuk meletakkan fungsi-fungsi yang penting!
CLIENT_HELP_INC_000124,Action Slot,Action Slot
CLIENT_HELP_INC_000125,The Action Slot is located in the lower right corner of the screen.,Action Slot terletak di sudut kanan bawah layar.
CLIENT_HELP_INC_000126,What is the Action Slot,Apa itu Action Slot
CLIENT_HELP_INC_000127,The Action Slot allows you to trigger a pre-determined set of skills. You can place skills in the Action Slot from the Skills Menu.,Action Slot memungkinkan untuk memicu serangkaian skill yang telah ditentukan sebelumnya. Kamu dapat menempatkan skill di Action Slot dari Skills Menu.
CLIENT_HELP_INC_000128,Using the Action Slot,Menggunakan Action Slot
